data,indicador,valor
2019-01-01,pct_sobre_mes,0.4
2019-01-02,pct_sobre_mes,4.9
2019-01-03,pct_sobre_mes,10.1
2019-01-04,pct_sobre_mes,15.2
2019-01-05,pct_sobre_mes,20.3
2019-01-06,pct_sobre_mes,20.5
2019-01-07,pct_sobre_mes,23.8
2019-01-08,pct_sobre_mes,27.2
2019-01-09,pct_sobre_mes,30.5
2019-01-10,pct_sobre_mes,33.7
2019-01-11,pct_sobre_mes,37.3
2019-01-12,pct_sobre_mes,41.6
2019-01-13,pct_sobre_mes,42.5
2019-01-14,pct_sobre_mes,45.8
2019-01-15,pct_sobre_mes,48.9
2019-01-16,pct_sobre_mes,51.6
2019-01-17,pct_sobre_mes,54.5
2019-01-18,pct_sobre_mes,57.9
2019-01-19,pct_sobre_mes,61.9
2019-01-20,pct_sobre_mes,62.6
2019-01-21,pct_sobre_mes,65.8
2019-01-22,pct_sobre_mes,68.6
2019-01-23,pct_sobre_mes,71.4
2019-01-24,pct_sobre_mes,74.1
2019-01-25,pct_sobre_mes,77.3
2019-01-26,pct_sobre_mes,81.2
2019-01-27,pct_sobre_mes,81.8
2019-01-28,pct_sobre_mes,85.0
2019-01-29,pct_sobre_mes,87.8
2019-01-30,pct_sobre_mes,90.6
2019-01-31,pct_sobre_mes,100.0
2019-02-01,pct_sobre_mes,4.3
2019-02-02,pct_sobre_mes,9.2
2019-02-03,pct_sobre_mes,10.0
2019-02-04,pct_sobre_mes,13.7
2019-02-05,pct_sobre_mes,17.0
2019-02-06,pct_sobre_mes,20.5
2019-02-07,pct_sobre_mes,24.0
2019-02-08,pct_sobre_mes,28.0
2019-02-09,pct_sobre_mes,32.6
2019-02-10,pct_sobre_mes,33.5
2019-02-11,pct_sobre_mes,37.3
2019-02-12,pct_sobre_mes,40.6
2019-02-13,pct_sobre_mes,43.8
2019-02-14,pct_sobre_mes,47.3
2019-02-15,pct_sobre_mes,51.3
2019-02-16,pct_sobre_mes,55.8
2019-02-17,pct_sobre_mes,56.5
2019-02-18,pct_sobre_mes,60.1
2019-02-19,pct_sobre_mes,63.4
2019-02-20,pct_sobre_mes,66.5
2019-02-21,pct_sobre_mes,69.8
2019-02-22,pct_sobre_mes,73.7
2019-02-23,pct_sobre_mes,78.0
2019-02-24,pct_sobre_mes,78.9
2019-02-25,pct_sobre_mes,82.7
2019-02-26,pct_sobre_mes,85.9
2019-02-27,pct_sobre_mes,89.8
2019-02-28,pct_sobre_mes,100.0
2019-03-01,pct_sobre_mes,3.7
2019-03-02,pct_sobre_mes,7.5
2019-03-03,pct_sobre_mes,8.1
2019-03-04,pct_sobre_mes,11.5
2019-03-05,pct_sobre_mes,14.5
2019-03-06,pct_sobre_mes,17.6
2019-03-07,pct_sobre_mes,20.8
2019-03-08,pct_sobre_mes,24.3
2019-03-09,pct_sobre_mes,28.4
2019-03-10,pct_sobre_mes,29.2
2019-03-11,pct_sobre_mes,33.2
2019-03-12,pct_sobre_mes,36.3
2019-03-13,pct_sobre_mes,39.3
2019-03-14,pct_sobre_mes,42.5
2019-03-15,pct_sobre_mes,46.3
2019-03-16,pct_sobre_mes,50.3
2019-03-17,pct_sobre_mes,51.1
2019-03-18,pct_sobre_mes,54.1
2019-03-19,pct_sobre_mes,56.4
2019-03-20,pct_sobre_mes,59.5
2019-03-21,pct_sobre_mes,62.7
2019-03-22,pct_sobre_mes,66.2
2019-03-23,pct_sobre_mes,70.2
2019-03-24,pct_sobre_mes,70.9
2019-03-25,pct_sobre_mes,74.3
2019-03-26,pct_sobre_mes,77.3
2019-03-27,pct_sobre_mes,80.3
2019-03-28,pct_sobre_mes,83.9
2019-03-29,pct_sobre_mes,87.9
2019-03-30,pct_sobre_mes,92.4
2019-03-31,pct_sobre_mes,100.0
2019-04-01,pct_sobre_mes,3.7
2019-04-02,pct_sobre_mes,6.7
2019-04-03,pct_sobre_mes,9.7
2019-04-04,pct_sobre_mes,12.7
2019-04-05,pct_sobre_mes,16.3
2019-04-06,pct_sobre_mes,20.7
2019-04-07,pct_sobre_mes,21.5
2019-04-08,pct_sobre_mes,24.9
