any,mes,periode,index_confianca,situacio_actual_financera,situacio_actual_economica,expectatives_financera,expectatives_economica
1986,6,1986-06,4.9,1.3,-20.0,17.2,12.4
1986,7,1986-07,4.9,3.3,-14.0,17.4,13.0
1986,8,1986-08,6.1,1.3,-15.1,18.1,16.3
1986,9,1986-09,5.3,2.9,-15.5,17.4,12.4
1986,10,1986-10,5.2,2.8,-13.1,17.1,14.0
1986,11,1986-11,5.9,4.2,-13.1,17.5,14.0
1986,12,1986-12,5.2,5.2,-11.5,16.4,14.9
1987,1,1987-01,4.1,3.7,-19.1,16.8,8.9
1987,2,1987-02,3.8,5.0,-20.8,16.6,7.0
1987,3,1987-03,2.9,1.8,-23.0,15.6,5.6
1987,4,1987-04,2.6,2.7,-23.3,13.3,5.2
1987,5,1987-05,2.1,1.0,-23.6,12.4,5.0
1987,6,1987-06,4.1,4.0,-17.6,14.9,8.6
1987,7,1987-07,5.4,3.6,-18.3,16.3,10.6
1987,8,1987-08,7.2,6.1,-14.0,19.2,13.7
1987,9,1987-09,7.8,5.9,-12.0,18.7,15.0
1987,10,1987-10,7.3,5.9,-6.7,17.0,16.7
1987,11,1987-11,5.5,5.3,-12.1,15.7,11.8
1987,12,1987-12,5.1,4.5,-12.9,15.2,10.5
1988,1,1988-01,5.8,6.1,-14.9,18.1,9.8
1988,2,1988-02,6.6,6.7,-10.3,17.7,10.6
1988,3,1988-03,7.3,7.7,-9.6,18.0,12.9
1988,4,1988-04,8.5,12.1,-8.8,17.8,13.2
1988,5,1988-05,7.9,10.3,-8.4,20.5,11.8
1988,6,1988-06,7.2,8.0,-8.1,17.8,14.1
1988,7,1988-07,7.8,9.5,-7.3,19.5,13.6
1988,8,1988-08,10.0,9.7,-5.6,23.0,16.3
1988,9,1988-09,8.7,9.9,-8.2,20.1,14.3
1988,10,1988-10,9.4,12.2,-6.8,21.0,14.6
1988,11,1988-11,7.8,8.7,-7.0,18.5,13.1
1988,12,1988-12,8.1,8.5,-8.7,18.7,14.1
1989,1,1989-01,9.0,11.3,-4.9,20.3,13.9
1989,2,1989-02,7.1,8.8,-7.7,19.2,12.2
1989,3,1989-03,6.4,7.5,-9.3,17.3,9.1
1989,4,1989-04,7.0,10.4,-6.4,18.2,10.3
1989,5,1989-05,7.2,9.8,-5.4,17.6,9.2
