sector,any,valor
Actividades administrativas y servicios auxiliares,2014,15766.08
Actividades administrativas y servicios auxiliares,2015,15948.63
Actividades administrativas y servicios auxiliares,2016,16139.11
Actividades administrativas y servicios auxiliares,2017,16519.76
Actividades administrativas y servicios auxiliares,2018,17176.75
Actividades administrativas y servicios auxiliares,2019,17107.54
Actividades administrativas y servicios auxiliares,2020,17808.53
Actividades administrativas y servicios auxiliares,2021,18118.66
Actividades administrativas y servicios auxiliares,2022,18995.66
Actividades administrativas y servicios auxiliares,2023,19891.91
"Actividades artísticas, recreativas y de entretenimiento",2014,16912.45
"Actividades artísticas, recreativas y de entretenimiento",2015,17375.02
"Actividades artísticas, recreativas y de entretenimiento",2016,17525.18
"Actividades artísticas, recreativas y de entretenimiento",2017,17703.25
"Actividades artísticas, recreativas y de entretenimiento",2018,18517.55
"Actividades artísticas, recreativas y de entretenimiento",2019,18088.1
"Actividades artísticas, recreativas y de entretenimiento",2020,18638.95
"Actividades artísticas, recreativas y de entretenimiento",2021,18380.69
"Actividades artísticas, recreativas y de entretenimiento",2022,19360.67
"Actividades artísticas, recreativas y de entretenimiento",2023,20634.29
Actividades financieras y de seguros,2014,40696.06
Actividades financieras y de seguros,2015,41547.07
Actividades financieras y de seguros,2016,42684.65
Actividades financieras y de seguros,2017,43773.58
Actividades financieras y de seguros,2018,45034.53
Actividades financieras y de seguros,2019,44302.71
Actividades financieras y de seguros,2020,45921.78
Actividades financieras y de seguros,2021,46122.24
Actividades financieras y de seguros,2022,47239.53
Actividades financieras y de seguros,2023,48922.8
Actividades inmobiliarias,2014,20619.89
Actividades inmobiliarias,2015,20540.02
Actividades inmobiliarias,2016,20899.35
Actividades inmobiliarias,2017,21299.08
Actividades inmobiliarias,2018,21249.15
Actividades inmobiliarias,2019,23333.16
Actividades inmobiliarias,2020,23354.7
Actividades inmobiliarias,2021,24835.23
Actividades inmobiliarias,2022,26172.9
Actividades inmobiliarias,2023,27443.78
"Actividades profesionales, científicas y técnicas",2014,26275.51
"Actividades profesionales, científicas y técnicas",2015,26347.37
"Actividades profesionales, científicas y técnicas",2016,26520.32
"Actividades profesionales, científicas y técnicas",2017,27450.26
"Actividades profesionales, científicas y técnicas",2018,28058.48
"Actividades profesionales, científicas y técnicas",2019,28150.21
"Actividades profesionales, científicas y técnicas",2020,28918.19
"Actividades profesionales, científicas y técnicas",2021,29926.53
"Actividades profesionales, científicas y técnicas",2022,30947.87
"Actividades profesionales, científicas y técnicas",2023,32547.76
Actividades sanitarias y de servicios sociales,2014,24826.42
Actividades sanitarias y de servicios sociales,2015,25823.88
Actividades sanitarias y de servicios sociales,2016,25955.32
Actividades sanitarias y de servicios sociales,2017,26076.47
