territori,any,locals,xifra_negoci,sous_salaris,inversio,personal_ocupat,vab_estimat,vab_estimat_nominal
Andalucía,2018,108065.0,35885031000.0,3459100000.0,670699000.0,292833.0,6935232497.814824,9064048626.385761
Andalucía,2019,107697.0,37440571000.0,3693325000.0,716472000.0,296168.0,7323248021.125479,9330827911.255178
Andalucía,2020,104450.0,35415125000.0,3391045000.0,712490000.0,285583.0,6692418718.578727,8377561233.820716
Andalucía,2021,110293.0,39467632000.0,3737354000.0,824035000.0,289841.0,7640304916.21313,9750643646.971483
Andalucía,2022,111662.0,44948623000.0,4017002000.0,725977000.0,296624.0,7558209904.948772,10034940624.683733
Andalucía,2023,107047.0,48065949000.0,4277846000.0,789861000.0,293193.0,7897303472.4565735,11432787729.823698
Andalucía,2024,104001.0,50938080000.0,4708358000.0,726610000.0,300019.0,8584853091.993765,
Aragón,2018,13551.0,6465261000.0,618874000.0,133445000.0,45221.0,1249492809.2455812,1633033007.168795
Aragón,2019,12971.0,6173154000.0,626572000.0,120010000.0,44449.0,1207447872.913125,1538455106.4586208
Aragón,2020,12950.0,6325338000.0,612950000.0,141457000.0,44185.0,1195303148.9381254,1496278960.461471
Aragón,2021,13731.0,6987846000.0,658908000.0,131066000.0,42545.0,1352735683.4466343,1726376596.5466356
Aragón,2022,13514.0,7314981000.0,656280000.0,100176000.0,42829.0,1230030157.9586115,1633095634.6691563
Aragón,2023,13741.0,7585206000.0,720027000.0,88141000.0,42091.0,1246260084.9324422,1804188867.361905
Aragón,2024,12505.0,7948689000.0,772845000.0,86917000.0,43608.0,1339632890.3434684,
Asturias (Principado de),2018,11463.0,4915023000.0,501766000.0,83678000.0,38832.0,949889864.5819007,1241464929.2571163
Asturias (Principado de),2019,11015.0,4894987000.0,530615000.0,85120000.0,38827.0,957442766.0621133,1219914122.6994443
Asturias (Principado de),2020,10691.0,4874403000.0,492086000.0,127106000.0,37568.0,921119038.2385012,1153055639.6686275
Asturias (Principado de),2021,12273.0,5339601000.0,510820000.0,91975000.0,37720.0,1033661704.6322047,1319170771.8368454
Asturias (Principado de),2022,11974.0,5418920000.0,524717000.0,97576000.0,37013.0,911203326.9211607,1209793244.3872902
Asturias (Principado de),2023,10736.0,5527319000.0,564685000.0,94326000.0,35830.0,908146337.2766279,1314707524.905446
Asturias (Principado de),2024,11236.0,5944579000.0,606223000.0,101525000.0,36925.0,1001870062.8047073,
Balears (Illes),2018,13283.0,7560068000.0,696215000.0,125320000.0,46365.0,1461077998.7702928,1909565689.682223
Balears (Illes),2019,13468.0,7694483000.0,751064000.0,116007000.0,47778.0,1505014637.819857,1917596201.6999817
Balears (Illes),2020,13066.0,6656468000.0,640073000.0,137342000.0,44588.0,1257876995.8547456,1574608822.3878388
Balears (Illes),2021,14816.0,7225246000.0,686355000.0,135831000.0,42909.0,1398692542.14819,1785027260.0014644
Balears (Illes),2022,14927.0,9770928000.0,782532000.0,161399000.0,46506.0,1643003052.3992093,2181394574.157695
Balears (Illes),2023,14252.0,10413878000.0,845452000.0,161469000.0,46377.0,1711014899.3654346,2477006261.091006
Balears (Illes),2024,14859.0,10157375000.0,939454000.0,217586000.0,48819.0,1711873949.2201152,
Canarias,2018,26496.0,13530449000.0,1322596000.0,353716000.0,101217.0,2614929038.6519685,3417599044.928583
Canarias,2019,27180.0,13707473000.0,1405333000.0,300201000.0,102938.0,2681134978.4671,3416135711.743733
Canarias,2020,25393.0,11931912000.0,1213831000.0,301527000.0,96756.0,2254781007.1892767,2822531994.9191256
Canarias,2021,23628.0,13188682000.0,1304039000.0,258191000.0,90857.0,2553118766.359523,3258319079.169157
Canarias,2022,25671.0,14900893000.0,1521843000.0,752569000.0,99605.0,2505617959.980261,3326677582.7541027
Canarias,2023,27194.0,15801205000.0,1638095000.0,340978000.0,101157.0,2596160352.8414297,3758415809.920426
Canarias,2024,25147.0,17887298000.0,1806812000.0,330152000.0,104345.0,3014637095.522915,
Cantabria,2018,6165.0,3037852000.0,279117000.0,42144000.0,20624.0,587103015.5708033,767318223.7954104
Cantabria,2019,6189.0,3148435000.0,298113000.0,62808000.0,20718.0,615823150.330485,784643620.2795278
Cantabria,2020,6091.0,3208158000.0,280025000.0,59776000.0,20516.0,606247659.7600062,758900048.8568599
Cantabria,2021,5768.0,3516201000.0,297638000.0,56943000.0,20533.0,680680507.6801548,868692171.400726
Cantabria,2022,5546.0,3748793000.0,318220000.0,35151000.0,20245.0,630367795.3427544,836931426.5584955
Cantabria,2023,5861.0,4234613000.0,338513000.0,34116000.0,20745.0,695752911.2638502,1007229287.1394659
Cantabria,2024,5392.0,3769351000.0,349646000.0,36259000.0,19981.0,635267850.4403737,
