territori,any,empreses,poblacio,empreses_per_1000hab
espanya,2025,377471,49128297.0,7.683372374987881
espanya,2024,384774,48999880.0,7.852549842979208
espanya,2023,393287,48486865.0,8.111207024830332
espanya,2022,428605,47940295.0,8.940391376398498
espanya,2021,427637,47385107.0,9.024713186782504
espanya,2020,435836,47450795.0,9.185009439778618
Andalucía,2025,78092,8784088.0,8.890165945514207
Andalucía,2024,79417,8761127.0,9.064701379171881
Andalucía,2023,81313,8669400.0,9.379311140332666
Andalucía,2022,87560,8571674.0,10.215040842663873
Andalucía,2021,86842,8472407.0,10.249979728310976
Andalucía,2020,87628,8464411.0,10.352521870688935
Aragón,2025,9015,1375051.0,6.556120463895521
Aragón,2024,9208,1371457.0,6.714027490471812
Aragón,2023,9412,1357098.0,6.935387127532426
Aragón,2022,10191,1341800.0,7.5950216127589805
Aragón,2021,10248,1326261.0,7.726985864773223
Aragón,2020,10530,1329391.0,7.920920180744416
Asturias (Principado de),2025,7422,1049014.0,7.075215392740231
Asturias (Principado de),2024,7677,1046271.0,7.337487132874752
Asturias (Principado de),2023,7964,1035317.0,7.692329982024829
Asturias (Principado de),2022,8518,1023647.0,8.321227923297776
Asturias (Principado de),2021,8570,1011792.0,8.47012034093964
Asturias (Principado de),2020,8763,1018784.0,8.601430725256776
Balears (Illes),2025,9206,1216160.0,7.569727667412183
Balears (Illes),2024,9246,1212981.0,7.6225431395875125
Balears (Illes),2023,9309,1200282.0,7.755677415807285
Balears (Illes),2022,10012,1186752.0,8.436471984037103
Balears (Illes),2021,9902,1173008.0,8.441545155702263
Balears (Illes),2020,10098,1171543.0,8.619401934030591
Canarias,2025,16295,2252882.0,7.232957607189369
Canarias,2024,16672,2246993.0,7.419693786317981
Canarias,2023,17115,2223467.0,7.697438279947487
Canarias,2022,19158,2198403.0,8.714507758586574
Canarias,2021,19034,2172944.0,8.759544654625246
Canarias,2020,20021,2175952.0,9.201030169783158
Cantabria,2025,4336,606010.0,7.154997442286431
Cantabria,2024,4460,604426.0,7.37890163560138
Cantabria,2023,4607,598097.0,7.702763932940644
Cantabria,2022,4855,591355.0,8.20995848517388
Cantabria,2021,4888,584507.0,8.362603014164074
Cantabria,2020,4920,582905.0,8.440483440697884
Castilla y León,2025,19225,2470809.0,7.780852344313138
Castilla y León,2024,19822,2464351.0,8.043497050541907
Castilla y León,2023,20461,2438550.0,8.390641979865084
Castilla y León,2022,21950,2411061.0,9.103875845530245
Castilla y León,2021,22183,2383139.0,9.308311432946212
Castilla y León,2020,22733,2394918.0,9.492183030901268
Castilla - La Mancha,2025,17203,2124961.0,8.095677991266664
Castilla - La Mancha,2024,17691,2119406.0,8.347150097716058
Castilla - La Mancha,2023,18137,2097217.0,8.648127494675085
Castilla - La Mancha,2022,19452,2073576.0,9.380895612217733
Castilla - La Mancha,2021,19516,2049562.0,9.522034463948883
Castilla - La Mancha,2020,19859,2045221.0,9.709953105312335
Cataluña,2025,61450,8048958.0,7.634528593639077
Cataluña,2024,62628,8027919.0,7.801274527059877
Cataluña,2023,63295,7943869.0,7.967779931919824
Cataluña,2022,69050,7854321.0,8.791339187690445
Cataluña,2021,68347,7763362.0,8.803788873944047
Cataluña,2020,69185,7780479.0,8.892126050337003
Comunitat Valenciana,2025,41419,5244215.0,7.898036217050597
Comunitat Valenciana,2024,42139,5230507.0,8.056389179863444
Comunitat Valenciana,2023,43068,5175746.0,8.321119313042024
Comunitat Valenciana,2022,47311,5117402.0,9.245120864063445
Comunitat Valenciana,2021,47504,5058138.0,9.391598252163147
Comunitat Valenciana,2020,48250,5057353.0,9.540564006506962
Extremadura,2025,10283,1098478.0,9.361134223898885
Extremadura,2024,10609,1095606.0,9.683225539108037
Extremadura,2023,10866,1084136.0,10.022727775851001
Extremadura,2022,11796,1071915.0,11.00460390982494
Extremadura,2021,11757,1059501.0,11.096733273493843
Extremadura,2020,12044,1063987.0,11.319687176629039
Galicia,2025,22703,2794812.0,8.12326553628652
Galicia,2024,23311,2787506.0,8.362672582588162
Galicia,2023,24110,2758322.0,8.740821412438432
Galicia,2022,26014,2727229.0,9.538619602534293
Galicia,2021,26261,2695645.0,9.742009797284137
Galicia,2020,26933,2701819.0,9.968469390436592
Madrid (Comunidad de),2025,43539,6999614.0,6.220200142464998
Madrid (Comunidad de),2024,43769,6981318.0,6.269446542902071
Madrid (Comunidad de),2023,44388,6908225.0,6.425384234010907
Madrid (Comunidad de),2022,50391,6830352.0,7.377511437185082
Madrid (Comunidad de),2021,49888,6751251.0,7.389445304285087
Madrid (Comunidad de),2020,50853,6779888.0,7.5005663810375625
Murcia (Región de),2025,12262,1574348.0,7.78862106726086
Murcia (Región de),2024,12470,1570232.0,7.941501637974516
Murcia (Región de),2023,12859,1553793.0,8.275877159956313
Murcia (Región de),2022,13789,1536277.0,8.975594895972536
Murcia (Región de),2021,13828,1518486.0,9.106438913496733
Murcia (Región de),2020,13939,1511251.0,9.223484384791144
Navarra (Comunidad Foral de),2025,5004,685873.0,7.2958113236707085
Navarra (Comunidad Foral de),2024,4979,684081.0,7.278377852915079
Navarra (Comunidad Foral de),2023,5105,676918.0,7.541533834231029
Navarra (Comunidad Foral de),2022,5834,669288.0,8.71672583402063
Navarra (Comunidad Foral de),2021,5788,661537.0,8.749321655478075
Navarra (Comunidad Foral de),2020,5897,661197.0,8.918673254718337
País Vasco,2025,15572,2295441.0,6.7838816157766635
País Vasco,2024,16127,2289441.0,7.044077571774071
País Vasco,2023,16594,2265471.0,7.324746156538751
País Vasco,2022,17607,2239933.0,7.860502970401346
País Vasco,2021,17870,2213993.0,8.071389566272341
País Vasco,2020,18788,2220504.0,8.461142155114334
Rioja (La),2025,2583,331561.0,7.790421672030185
Rioja (La),2024,2605,330694.0,7.877373039728571
Rioja (La),2023,2656,327232.0,8.116565617054567
