any,trimestre,sexe,ocupats_cnae47_milers,aturats_seccio_g_milers,hores_setmana_seccio_g,periode
2008,1,dones,1265.5,118.3,33.0,2008-T1
2008,1,homes,747.5,81.5,39.0,2008-T1
2008,1,total,2013.0,199.8,36.0,2008-T1
2008,2,dones,1251.7,147.1,34.2,2008-T2
2008,2,homes,757.9,92.8,41.1,2008-T2
2008,2,total,2009.6,239.9,37.7,2008-T2
2008,3,dones,1284.6,129.6,31.3,2008-T3
2008,3,homes,765.5,103.3,37.7,2008-T3
2008,3,total,2050.1,232.9,34.5,2008-T3
2008,4,dones,1252.2,157.4,33.8,2008-T4
2008,4,homes,737.0,118.7,40.3,2008-T4
2008,4,total,1989.2,276.1,37.0,2008-T4
2009,1,dones,1202.8,194.5,33.8,2009-T1
2009,1,homes,699.6,156.7,40.1,2009-T1
2009,1,total,1902.4,351.2,36.9,2009-T1
2009,2,dones,1183.5,216.4,33.6,2009-T2
2009,2,homes,694.3,162.2,40.1,2009-T2
2009,2,total,1877.8,378.5,36.8,2009-T2
2009,3,dones,1232.4,193.6,31.3,2009-T3
2009,3,homes,710.8,148.8,37.7,2009-T3
2009,3,total,1943.2,342.5,34.5,2009-T3
2009,4,dones,1183.7,192.3,33.6,2009-T4
2009,4,homes,690.1,142.0,40.1,2009-T4
2009,4,total,1873.8,334.2,36.8,2009-T4
2010,1,dones,1169.7,196.1,33.7,2010-T1
2010,1,homes,685.7,142.2,40.0,2010-T1
2010,1,total,1855.3,338.3,36.8,2010-T1
2010,2,dones,1157.2,187.9,34.4,2010-T2
2010,2,homes,681.7,148.9,41.0,2010-T2
2010,2,total,1838.8,336.8,37.7,2010-T2
2010,3,dones,1191.2,177.6,31.9,2010-T3
2010,3,homes,692.1,148.3,37.3,2010-T3
2010,3,total,1883.3,325.9,34.6,2010-T3
2010,4,dones,1193.1,161.0,33.2,2010-T4
2010,4,homes,706.0,139.7,39.2,2010-T4
2010,4,total,1899.1,300.7,36.2,2010-T4
2011,1,dones,1171.3,177.2,34.4,2011-T1
2011,1,homes,685.6,146.1,40.6,2011-T1
2011,1,total,1856.9,323.2,37.5,2011-T1
2011,2,dones,1214.8,178.0,33.3,2011-T2
2011,2,homes,699.4,148.5,39.8,2011-T2
2011,2,total,1914.2,326.4,36.5,2011-T2
2011,3,dones,1223.9,163.4,31.5,2011-T3
2011,3,homes,712.9,135.0,37.4,2011-T3
2011,3,total,1936.9,298.4,34.4,2011-T3
2011,4,dones,1169.6,186.1,33.0,2011-T4
2011,4,homes,710.6,139.5,39.1,2011-T4
2011,4,total,1880.2,325.7,36.0,2011-T4
2012,1,dones,1147.0,194.6,33.8,2012-T1
2012,1,homes,708.6,160.3,40.2,2012-T1
2012,1,total,1855.6,354.9,37.0,2012-T1
2012,2,dones,1136.8,198.5,32.9,2012-T2
2012,2,homes,718.3,169.4,39.9,2012-T2
2012,2,total,1855.2,367.9,36.4,2012-T2
