any,tipus,bens_share,serveis_share,online_pen,comerc_fisic_share,comerc_fisic_logodds
2013,historic,42.02,57.98,0.42,41.84,
2014,historic,41.87,58.13,1.78,41.12,
2015,historic,41.79,58.21,2.19,40.87,
2016,historic,41.61,58.39,2.48,40.58,
2017,historic,41.25,58.75,2.71,40.13,
2018,historic,41.08,58.92,3.24,39.75,
2019,historic,40.68,59.32,3.94,39.08,
2020,historic,44.23,55.77,6.46,41.37,
2021,historic,43.11,56.89,6.27,40.41,
2022,historic,41.2,58.8,6.17,38.66,
2023,historic,39.66,60.34,6.65,37.02,
2024,historic,38.21,61.79,7.29,35.43,
2026,projeccio,37.81,62.19,8.27,34.68,33.04
2027,projeccio,37.5,62.5,8.86,34.18,31.88
2028,projeccio,37.19,62.81,9.44,33.68,30.6
2029,projeccio,36.88,63.12,10.02,33.19,29.19
2030,projeccio,36.58,63.42,10.61,32.7,27.67
2031,projeccio,36.27,63.73,11.19,32.21,26.03
2032,projeccio,35.96,64.04,11.77,31.73,24.28
2033,projeccio,35.65,64.35,12.35,31.24,22.46
2034,projeccio,35.34,64.66,12.94,30.77,20.57
2035,projeccio,35.03,64.97,13.52,30.29,18.67
