pais,pais_codi,any,indic_sbs,valor
Alemanya,DE,2021,EMP_NR,3329401.0
Alemanya,DE,2021,ENT_BRTHR_DTHR_PC,15.73
Alemanya,DE,2021,ENT_BRTHR_PC,7.85
Alemanya,DE,2021,ENT_DTHR_PC,7.88
Alemanya,DE,2021,ENT_NR,308555.0
Alemanya,DE,2021,SAL_NR,3043548.0
Alemanya,DE,2022,EMP_NR,3385918.0
Alemanya,DE,2022,ENT_BRTHR_DTHR_PC,16.73
Alemanya,DE,2022,ENT_BRTHR_PC,7.95
Alemanya,DE,2022,ENT_DTHR_PC,8.78
Alemanya,DE,2022,ENT_NR,307976.0
Alemanya,DE,2022,GRW_ENT_PC,-0.19
Alemanya,DE,2022,SAL_NR,3099451.0
Alemanya,DE,2023,EMP_NR,3351234.0
Alemanya,DE,2023,ENT_BRTHR_DTHR_PC,18.2
Alemanya,DE,2023,ENT_BRTHR_PC,8.19
Alemanya,DE,2023,ENT_DTHR_PC,10.02
Alemanya,DE,2023,ENT_NR,304127.0
Alemanya,DE,2023,GRW_ENT_PC,-1.25
Alemanya,DE,2023,SAL_NR,3068217.0
Espanya,ES,2021,EMP_NR,1780046.0
Espanya,ES,2021,ENT_BRTHR_DTHR_PC,15.92
Espanya,ES,2021,ENT_BRTHR_PC,8.14
Espanya,ES,2021,ENT_DTHR_PC,7.78
Espanya,ES,2021,ENT_NR,446138.0
Espanya,ES,2021,SAL_NR,1383722.0
Espanya,ES,2022,EMP_NR,1795168.0
Espanya,ES,2022,ENT_BRTHR_DTHR_PC,17.42
Espanya,ES,2022,ENT_BRTHR_PC,7.28
Espanya,ES,2022,ENT_DTHR_PC,10.14
Espanya,ES,2022,ENT_NR,442838.0
Espanya,ES,2022,GRW_ENT_PC,-0.74
Espanya,ES,2022,SAL_NR,1406731.0
Espanya,ES,2023,EMP_NR,1789003.0
Espanya,ES,2023,ENT_BRTHR_DTHR_PC,16.47
Espanya,ES,2023,ENT_BRTHR_PC,7.65
Espanya,ES,2023,ENT_DTHR_PC,8.83
Espanya,ES,2023,ENT_NR,426519.0
Espanya,ES,2023,GRW_ENT_PC,-3.69
Espanya,ES,2023,SAL_NR,1422747.0
UE-27,EU27_2020,2021,EMP_NR,16133696.0
UE-27,EU27_2020,2021,ENT_BRTHR_DTHR_PC,17.83
UE-27,EU27_2020,2021,ENT_BRTHR_PC,9.53
UE-27,EU27_2020,2021,ENT_DTHR_PC,8.3
UE-27,EU27_2020,2021,ENT_NR,3369682.0
UE-27,EU27_2020,2021,SAL_NR,13252299.0
UE-27,EU27_2020,2022,EMP_NR,16345845.0
UE-27,EU27_2020,2022,ENT_BRTHR_DTHR_PC,17.48
UE-27,EU27_2020,2022,ENT_BRTHR_PC,8.33
UE-27,EU27_2020,2022,ENT_DTHR_PC,9.15
UE-27,EU27_2020,2022,ENT_NR,3351027.0
UE-27,EU27_2020,2022,GRW_ENT_PC,-0.55
UE-27,EU27_2020,2022,SAL_NR,13530946.0
UE-27,EU27_2020,2023,EMP_NR,16356447.0
UE-27,EU27_2020,2023,ENT_BRTHR_DTHR_PC,17.85
UE-27,EU27_2020,2023,ENT_BRTHR_PC,8.78
UE-27,EU27_2020,2023,ENT_DTHR_PC,9.07
UE-27,EU27_2020,2023,ENT_NR,3316606.0
UE-27,EU27_2020,2023,GRW_ENT_PC,-1.03
UE-27,EU27_2020,2023,SAL_NR,13585164.0
Franca,FR,2021,EMP_NR,2109770.0
Franca,FR,2021,ENT_BRTHR_DTHR_PC,25.7
Franca,FR,2021,ENT_BRTHR_PC,14.45
Franca,FR,2021,ENT_DTHR_PC,11.25
Franca,FR,2021,ENT_NR,456207.0
Franca,FR,2021,SAL_NR,1830389.0
Franca,FR,2022,EMP_NR,2116669.0
Franca,FR,2022,ENT_BRTHR_DTHR_PC,22.35
Franca,FR,2022,ENT_BRTHR_PC,11.34
Franca,FR,2022,ENT_DTHR_PC,11.01
Franca,FR,2022,ENT_NR,466365.0
Franca,FR,2022,GRW_ENT_PC,2.23
Franca,FR,2022,SAL_NR,1838861.0
Franca,FR,2023,EMP_NR,2129267.0
Franca,FR,2023,ENT_BRTHR_DTHR_PC,21.72
Franca,FR,2023,ENT_BRTHR_PC,11.89
Franca,FR,2023,ENT_DTHR_PC,9.83
Franca,FR,2023,ENT_NR,463158.0
Franca,FR,2023,GRW_ENT_PC,-0.69
Franca,FR,2023,SAL_NR,1852743.0
Italia,IT,2021,EMP_NR,1858802.0
Italia,IT,2021,ENT_BRTHR_DTHR_PC,12.34
Italia,IT,2021,ENT_BRTHR_PC,5.95
Italia,IT,2021,ENT_DTHR_PC,6.39
Italia,IT,2021,ENT_NR,550021.0
Italia,IT,2021,SAL_NR,1188115.0
Italia,IT,2022,EMP_NR,1864895.0
Italia,IT,2022,ENT_BRTHR_DTHR_PC,12.57
Italia,IT,2022,ENT_BRTHR_PC,5.58
Italia,IT,2022,ENT_DTHR_PC,6.99
Italia,IT,2022,ENT_NR,548962.0
Italia,IT,2022,GRW_ENT_PC,-0.19
Italia,IT,2022,SAL_NR,1214358.0
Italia,IT,2023,EMP_NR,1879117.0
Italia,IT,2023,ENT_BRTHR_DTHR_PC,11.62
Italia,IT,2023,ENT_BRTHR_PC,5.59
Italia,IT,2023,ENT_DTHR_PC,6.02
Italia,IT,2023,ENT_NR,532049.0
Italia,IT,2023,GRW_ENT_PC,-3.08
Italia,IT,2023,SAL_NR,1248596.0
Paisos Baixos,NL,2021,EMP_NR,901413.0
Paisos Baixos,NL,2021,ENT_BRTHR_DTHR_PC,25.55
Paisos Baixos,NL,2021,ENT_BRTHR_PC,18.42
Paisos Baixos,NL,2021,ENT_DTHR_PC,7.13
Paisos Baixos,NL,2021,ENT_NR,167953.0
Paisos Baixos,NL,2021,SAL_NR,795614.0
Paisos Baixos,NL,2022,EMP_NR,913700.0
Paisos Baixos,NL,2022,ENT_BRTHR_DTHR_PC,19.89
Paisos Baixos,NL,2022,ENT_BRTHR_PC,10.18
Paisos Baixos,NL,2022,ENT_DTHR_PC,9.71
Paisos Baixos,NL,2022,ENT_NR,175723.0
Paisos Baixos,NL,2022,GRW_ENT_PC,4.63
Paisos Baixos,NL,2022,SAL_NR,808961.0
Paisos Baixos,NL,2023,EMP_NR,914995.0
Paisos Baixos,NL,2023,ENT_BRTHR_DTHR_PC,19.62
Paisos Baixos,NL,2023,ENT_BRTHR_PC,11.91
Paisos Baixos,NL,2023,ENT_DTHR_PC,7.71
Paisos Baixos,NL,2023,ENT_NR,180744.0
Paisos Baixos,NL,2023,GRW_ENT_PC,2.86
Paisos Baixos,NL,2023,SAL_NR,812633.0
Polonia,PL,2021,EMP_NR,1277431.0
Polonia,PL,2021,ENT_BRTHR_DTHR_PC,24.95
Polonia,PL,2021,ENT_BRTHR_PC,10.76
Polonia,PL,2021,ENT_DTHR_PC,14.19
Polonia,PL,2021,ENT_NR,291764.0
Polonia,PL,2021,SAL_NR,1009248.0
Polonia,PL,2022,EMP_NR,1277891.0
Polonia,PL,2022,ENT_BRTHR_DTHR_PC,23.16
Polonia,PL,2022,ENT_BRTHR_PC,10.32
Polonia,PL,2022,ENT_DTHR_PC,12.83
Polonia,PL,2022,ENT_NR,279962.0
Polonia,PL,2022,GRW_ENT_PC,-4.05
Polonia,PL,2022,SAL_NR,1023489.0
Polonia,PL,2023,EMP_NR,1259763.0
Polonia,PL,2023,ENT_BRTHR_DTHR_PC,26.8
Polonia,PL,2023,ENT_BRTHR_PC,10.18
Polonia,PL,2023,ENT_DTHR_PC,16.62
Polonia,PL,2023,ENT_NR,274546.0
Polonia,PL,2023,GRW_ENT_PC,-1.93
Polonia,PL,2023,SAL_NR,1010747.0
