pais,pais_codi,any,indic_sbs,sizeclas,valor
Austria,AT,2021,EMP_NR,0,26586
Austria,AT,2021,EMP_NR,1-4,53373
Austria,AT,2021,EMP_NR,5-9,33578
Austria,AT,2021,EMP_NR,GE10,292985
Austria,AT,2021,ENT_NR,0,25723
Austria,AT,2021,ENT_NR,1-4,18924
Austria,AT,2021,ENT_NR,5-9,4377
Austria,AT,2021,ENT_NR,GE10,3868
Austria,AT,2022,EMP_NR,0,26354
Austria,AT,2022,EMP_NR,1-4,54151
Austria,AT,2022,EMP_NR,5-9,33956
Austria,AT,2022,EMP_NR,GE10,295918
Austria,AT,2022,ENT_NR,0,25443
Austria,AT,2022,ENT_NR,1-4,19173
Austria,AT,2022,ENT_NR,5-9,4411
Austria,AT,2022,ENT_NR,GE10,4015
Austria,AT,2023,EMP_NR,0,26349
Austria,AT,2023,EMP_NR,1-4,52420
Austria,AT,2023,EMP_NR,5-9,33979
Austria,AT,2023,EMP_NR,GE10,298148
Austria,AT,2023,ENT_NR,0,25469
Austria,AT,2023,ENT_NR,1-4,18668
Austria,AT,2023,ENT_NR,5-9,4404
Austria,AT,2023,ENT_NR,GE10,3983
Belgica,BE,2021,EMP_NR,0,51402
Belgica,BE,2021,EMP_NR,1-4,42334
Belgica,BE,2021,EMP_NR,5-9,28153
Belgica,BE,2021,EMP_NR,GE10,209910
Belgica,BE,2021,ENT_NR,0,46808
Belgica,BE,2021,ENT_NR,1-4,19744
Belgica,BE,2021,ENT_NR,5-9,4440
Belgica,BE,2021,ENT_NR,GE10,3120
Belgica,BE,2022,EMP_NR,0,42560
Belgica,BE,2022,EMP_NR,1-4,40992
Belgica,BE,2022,EMP_NR,5-9,26532
Belgica,BE,2022,EMP_NR,GE10,205158
Belgica,BE,2022,ENT_NR,0,40126
Belgica,BE,2022,ENT_NR,1-4,18482
Belgica,BE,2022,ENT_NR,5-9,4178
Belgica,BE,2022,ENT_NR,GE10,3205
Belgica,BE,2023,EMP_NR,0,50406
Belgica,BE,2023,EMP_NR,1-4,42585
Belgica,BE,2023,EMP_NR,5-9,28001
Belgica,BE,2023,EMP_NR,GE10,205711
Belgica,BE,2023,ENT_NR,0,47617
Belgica,BE,2023,ENT_NR,1-4,19177
Belgica,BE,2023,ENT_NR,5-9,4315
Belgica,BE,2023,ENT_NR,GE10,3195
Bulgaria,BG,2021,EMP_NR,0,47012
Bulgaria,BG,2021,EMP_NR,1-4,83985
Bulgaria,BG,2021,EMP_NR,5-9,32613
Bulgaria,BG,2021,EMP_NR,GE10,131632
Bulgaria,BG,2021,ENT_NR,0,48682
Bulgaria,BG,2021,ENT_NR,1-4,34411
Bulgaria,BG,2021,ENT_NR,5-9,4565
Bulgaria,BG,2021,ENT_NR,GE10,3339
Bulgaria,BG,2022,EMP_NR,0,48409
Bulgaria,BG,2022,EMP_NR,1-4,83714
Bulgaria,BG,2022,EMP_NR,5-9,32862
Bulgaria,BG,2022,EMP_NR,GE10,132580
Bulgaria,BG,2022,ENT_NR,0,50544
Bulgaria,BG,2022,ENT_NR,1-4,34237
Bulgaria,BG,2022,ENT_NR,5-9,4598
Bulgaria,BG,2022,ENT_NR,GE10,3325
Bulgaria,BG,2023,EMP_NR,0,48934
Bulgaria,BG,2023,EMP_NR,1-4,83320
Bulgaria,BG,2023,EMP_NR,5-9,32298
Bulgaria,BG,2023,EMP_NR,GE10,135895
Bulgaria,BG,2023,ENT_NR,0,50780
Bulgaria,BG,2023,ENT_NR,1-4,33709
Bulgaria,BG,2023,ENT_NR,5-9,4514
Bulgaria,BG,2023,ENT_NR,GE10,3330
Xipre,CY,2021,EMP_NR,0,2363
Xipre,CY,2021,EMP_NR,1-4,9974
Xipre,CY,2021,EMP_NR,5-9,5710
Xipre,CY,2021,EMP_NR,GE10,21336
Xipre,CY,2021,ENT_NR,0,2573
Xipre,CY,2021,ENT_NR,1-4,5282
Xipre,CY,2021,ENT_NR,5-9,887
Xipre,CY,2021,ENT_NR,GE10,461
Xipre,CY,2022,EMP_NR,0,2207
Xipre,CY,2022,EMP_NR,1-4,10051
Xipre,CY,2022,EMP_NR,5-9,5847
Xipre,CY,2022,EMP_NR,GE10,22651
Xipre,CY,2022,ENT_NR,0,2418
Xipre,CY,2022,ENT_NR,1-4,5278
Xipre,CY,2022,ENT_NR,5-9,920
Xipre,CY,2022,ENT_NR,GE10,505
Xipre,CY,2023,EMP_NR,0,1977
Xipre,CY,2023,EMP_NR,1-4,9913
Xipre,CY,2023,EMP_NR,5-9,5921
Xipre,CY,2023,EMP_NR,GE10,23511
Xipre,CY,2023,ENT_NR,0,2178
Xipre,CY,2023,ENT_NR,1-4,5194
Xipre,CY,2023,ENT_NR,5-9,929
Xipre,CY,2023,ENT_NR,GE10,528
Txequia,CZ,2021,EMP_NR,0,72582
Txequia,CZ,2021,EMP_NR,1-4,46880
Txequia,CZ,2021,EMP_NR,5-9,26491
Txequia,CZ,2021,EMP_NR,GE10,220619
Txequia,CZ,2021,ENT_NR,0,93076
Txequia,CZ,2021,ENT_NR,1-4,17269
Txequia,CZ,2021,ENT_NR,5-9,3310
Txequia,CZ,2021,ENT_NR,GE10,2418
Txequia,CZ,2022,EMP_NR,0,72136
Txequia,CZ,2022,EMP_NR,1-4,47748
Txequia,CZ,2022,EMP_NR,5-9,26575
Txequia,CZ,2022,EMP_NR,GE10,222802
Txequia,CZ,2022,ENT_NR,0,92690
Txequia,CZ,2022,ENT_NR,1-4,17545
Txequia,CZ,2022,ENT_NR,5-9,3366
Txequia,CZ,2022,ENT_NR,GE10,2358
Txequia,CZ,2023,EMP_NR,0,75744
Txequia,CZ,2023,EMP_NR,1-4,46042
Txequia,CZ,2023,EMP_NR,5-9,26073
Txequia,CZ,2023,EMP_NR,GE10,220259
Txequia,CZ,2023,ENT_NR,0,95608
Txequia,CZ,2023,ENT_NR,1-4,16541
Txequia,CZ,2023,ENT_NR,5-9,3316
Txequia,CZ,2023,ENT_NR,GE10,2295
Alemanya,DE,2021,EMP_NR,0,105818
Alemanya,DE,2021,EMP_NR,1-4,354379
Alemanya,DE,2021,EMP_NR,5-9,277280
Alemanya,DE,2021,EMP_NR,GE10,2591924
Alemanya,DE,2021,ENT_NR,0,104652
Alemanya,DE,2021,ENT_NR,1-4,129734
Alemanya,DE,2021,ENT_NR,5-9,37273
Alemanya,DE,2021,ENT_NR,GE10,36896
Alemanya,DE,2022,EMP_NR,0,107140
Alemanya,DE,2022,EMP_NR,1-4,349364
Alemanya,DE,2022,EMP_NR,5-9,273503
Alemanya,DE,2022,EMP_NR,GE10,2655911
Alemanya,DE,2022,ENT_NR,0,106123
Alemanya,DE,2022,ENT_NR,1-4,128031
Alemanya,DE,2022,ENT_NR,5-9,36770
Alemanya,DE,2022,ENT_NR,GE10,37052
Alemanya,DE,2023,EMP_NR,0,108381
Alemanya,DE,2023,EMP_NR,1-4,337331
Alemanya,DE,2023,EMP_NR,5-9,264680
Alemanya,DE,2023,EMP_NR,GE10,2640842
Alemanya,DE,2023,ENT_NR,0,108002
Alemanya,DE,2023,ENT_NR,1-4,124085
Alemanya,DE,2023,ENT_NR,5-9,35533
Alemanya,DE,2023,ENT_NR,GE10,36507
Dinamarca,DK,2021,EMP_NR,0,4386
Dinamarca,DK,2021,EMP_NR,1-4,16597
Dinamarca,DK,2021,EMP_NR,5-9,18926
Dinamarca,DK,2021,EMP_NR,GE10,211513
Dinamarca,DK,2021,ENT_NR,0,6036
Dinamarca,DK,2021,ENT_NR,1-4,6335
Dinamarca,DK,2021,ENT_NR,5-9,2738
Dinamarca,DK,2021,ENT_NR,GE10,3257
Dinamarca,DK,2022,EMP_NR,0,4012
Dinamarca,DK,2022,EMP_NR,1-4,16667
Dinamarca,DK,2022,EMP_NR,5-9,18642
Dinamarca,DK,2022,EMP_NR,GE10,219429
