pais,pais_codi,any,vab_meur,vab_total_meur,pes_cnae47
Austria,AT,1995,8481.8,165078.3,0.051380466118199665
Austria,AT,1996,8407.1,166174.8,0.050591906835452796
Austria,AT,1997,8108.2,166463.2,0.04870866353644529
Austria,AT,1998,8556.0,172848.6,0.04949996702316362
Austria,AT,1999,9069.4,180440.9,0.050262440499908835
Austria,AT,2000,9408.2,189418.9,0.049668750056092614
Austria,AT,2001,9761.7,195976.8,0.049810487772022
Austria,AT,2002,10203.6,200708.4,0.050837932044697685
Austria,AT,2003,10223.2,205864.5,0.04965984907548412
Austria,AT,2004,10551.5,214252.0,0.04924808169818718
Austria,AT,2005,10845.7,224194.7,0.04837625510326515
Austria,AT,2006,11116.5,237133.7,0.04687861742131127
Austria,AT,2007,11756.1,251596.6,0.046725989142937546
Austria,AT,2008,12148.1,260417.8,0.04664850098572371
Austria,AT,2009,12468.5,254814.8,0.04893161621695443
Austria,AT,2010,13382.0,261615.0,0.05115150125183954
Austria,AT,2011,13716.5,274204.3,0.050022920865938285
Austria,AT,2012,13792.3,281072.7,0.049070222757315096
Austria,AT,2013,14031.5,285327.0,0.049176909300556904
Austria,AT,2014,14421.4,293480.3,0.049139243758439664
Austria,AT,2015,14364.3,303845.6,0.04727499756455252
Austria,AT,2016,14527.8,315923.9,0.04598512489874935
Austria,AT,2017,14522.8,326371.6,0.04449774428902515
Austria,AT,2018,15286.3,341351.6,0.04478168551136131
Austria,AT,2019,15816.0,352742.6,0.04483722691843855
Austria,AT,2020,15153.1,340529.9,0.044498588817017244
Austria,AT,2021,16998.7,362536.8,0.046888205555960114
Austria,AT,2022,18210.2,402767.1,0.045212729639536105
Austria,AT,2023,18256.0,429634.3,0.04249195187628176
Austria,AT,2024,18637.3,443546.0,0.04201886613789776
Belgica,BE,1995,7755.3,198543.0,0.03906105982079449
Belgica,BE,1996,7890.5,197322.2,0.039987897965864966
Belgica,BE,1997,7784.9,199659.1,0.038990960091475915
Belgica,BE,1998,8170.3,206675.9,0.03953194349220204
Belgica,BE,1999,8454.2,216177.4,0.03910769580909013
Belgica,BE,2000,8519.5,228625.4,0.037264013534804095
Belgica,BE,2001,9081.4,236804.2,0.03834982656557612
Belgica,BE,2002,10437.6,244560.7,0.042678974994755904
Belgica,BE,2003,11447.9,251865.8,0.04545237979908348
Belgica,BE,2004,11981.8,264845.4,0.045240732895492984
Belgica,BE,2005,12532.5,276828.7,0.04527167883965788
Belgica,BE,2006,12987.9,290022.6,0.04478237213237865
Belgica,BE,2007,13684.0,306588.9,0.04463305749164435
Belgica,BE,2008,14262.2,313984.0,0.04542333367305341
Belgica,BE,2009,14153.7,311073.7,0.045499507030006076
Belgica,BE,2010,14359.2,324827.0,0.04420568487225508
Belgica,BE,2011,14910.8,339303.2,0.04394535624774538
Belgica,BE,2012,15377.0,347256.9,0.044281337534257774
Belgica,BE,2013,15647.5,353107.0,0.04431376325023293
Belgica,BE,2014,15609.6,362940.0,0.043008761778806415
Belgica,BE,2015,15477.5,372548.9,0.041544881759146245
Belgica,BE,2016,15545.2,382874.7,0.040601272426723414
Belgica,BE,2017,15263.9,395972.0,0.038547927631246655
Belgica,BE,2018,15717.8,410351.2,0.03830328752541725
Belgica,BE,2019,16278.0,429083.2,0.03793669852373619
Belgica,BE,2020,16343.4,417994.9,0.03909952011376215
Belgica,BE,2021,17797.2,452406.9,0.03933892254958976
Belgica,BE,2022,19276.0,505988.0,0.03809576511695929
Belgica,BE,2023,20651.7,545134.1,0.03788370604590687
Bulgaria,BG,1995,503.3,13413.0,0.03752329829270111
Bulgaria,BG,1996,409.5,9015.8,0.04542026220634886
Bulgaria,BG,1997,485.2,9193.4,0.05277699219004938
Bulgaria,BG,1998,588.1,11977.6,0.04909998664173123
Bulgaria,BG,1999,656.6,11357.4,0.05781252751510029
Bulgaria,BG,2000,670.1,12658.8,0.052935507315069366
Bulgaria,BG,2001,736.1,14008.6,0.05254629299144811
Bulgaria,BG,2002,736.4,15551.4,0.0473526499221935
Bulgaria,BG,2003,908.4,16404.8,0.055374036867258364
Bulgaria,BG,2004,1049.3,18064.2,0.05808726652716422
Bulgaria,BG,2005,1245.7,20444.8,0.060929918610111135
Bulgaria,BG,2006,1432.6,23135.5,0.06192215426509044
Bulgaria,BG,2007,1305.2,27541.1,0.04739099019283907
Bulgaria,BG,2008,1338.3,31315.2,0.04273643470263642
Bulgaria,BG,2009,1673.6,32514.2,0.051472894919758136
Bulgaria,BG,2010,2076.0,33421.8,0.06211514640145054
Bulgaria,BG,2011,2045.8,36203.9,0.05650772430594494
Bulgaria,BG,2012,1906.7,36759.7,0.051869302524231706
Bulgaria,BG,2013,1805.2,36257.4,0.04978845697705848
Bulgaria,BG,2014,1866.2,37315.2,0.05001179144155733
Bulgaria,BG,2015,2132.1,39553.7,0.053903933133941956
Bulgaria,BG,2016,2224.3,41978.7,0.05298639548151802
Bulgaria,BG,2017,2603.4,45146.2,0.057665982962021176
Bulgaria,BG,2018,2826.3,48490.8,0.05828528298151402
Bulgaria,BG,2019,3095.1,52787.0,0.05863375452289389
Bulgaria,BG,2020,2972.1,53688.0,0.055358739383102366
Bulgaria,BG,2021,3344.3,62431.3,0.053567681595609894
Bulgaria,BG,2022,3825.8,76531.2,0.04999006940960027
Bulgaria,BG,2023,4923.0,82858.4,0.05941461577824337
Bulgaria,BG,2024,5646.6,91404.5,0.0617759519498493
Xipre,CY,1995,383.6,6932.5,0.055333573746844576
Xipre,CY,1996,401.5,7235.6,0.05548952402012272
Xipre,CY,1997,407.5,7761.3,0.05250409080952933
Xipre,CY,1998,436.6,8500.2,0.0513634973294746
Xipre,CY,1999,482.0,9113.6,0.052887991573033706
