serie_id,ambit,tipus,branca,indicador,any,mes,data,valor
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2016,8,2016-08-01,93.011
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2016,9,2016-09-01,90.008
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2016,10,2016-10-01,91.356
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2016,11,2016-11-01,92.648
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2016,12,2016-12-01,111.521
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2017,1,2017-01-01,93.74
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2017,2,2017-02-01,78.249
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2017,3,2017-03-01,91.104
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2017,4,2017-04-01,90.784
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2017,5,2017-05-01,94.206
