serie_id,tipus,modo,indicador,any,mes,data,valor
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2016,5,2016-05-01,100.543
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2016,6,2016-06-01,102.397
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2016,7,2016-07-01,106.246
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2016,8,2016-08-01,91.854
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2016,9,2016-09-01,99.248
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2016,10,2016-10-01,101.633
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2016,11,2016-11-01,98.079
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2016,12,2016-12-01,112.605
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2017,1,2017-01-01,99.176
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2017,2,2017-02-01,89.676
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2017,3,2017-03-01,98.81
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2017,4,2017-04-01,100.735
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2017,5,2017-05-01,102.226
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2017,6,2017-06-01,103.372
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2017,7,2017-07-01,106.412
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2017,8,2017-08-01,91.552
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2017,9,2017-09-01,98.875
