any,mes,grup_codi,grup,ipc,periode
2002,1,00,Índex general,58.717,2002-01
2002,2,00,Índex general,58.768,2002-02
2002,3,00,Índex general,59.253,2002-03
2002,4,00,Índex general,60.058,2002-04
2002,5,00,Índex general,60.274,2002-05
2002,6,00,Índex general,60.277,2002-06
2002,7,00,Índex general,59.858,2002-07
2002,8,00,Índex general,60.03,2002-08
2002,9,00,Índex general,60.255,2002-09
2002,10,00,Índex general,60.851,2002-10
2002,11,00,Índex general,60.946,2002-11
2002,12,00,Índex general,61.148,2002-12
2003,1,00,Índex general,60.896,2003-01
2003,2,00,Índex general,61.026,2003-02
2003,3,00,Índex general,61.449,2003-03
2003,4,00,Índex general,61.949,2003-04
2003,5,00,Índex general,61.892,2003-05
2003,6,00,Índex general,61.933,2003-06
2003,7,00,Índex general,61.545,2003-07
2003,8,00,Índex general,61.827,2003-08
2003,9,00,Índex general,62.011,2003-09
2003,10,00,Índex general,62.429,2003-10
2003,11,00,Índex general,62.633,2003-11
2003,12,00,Índex general,62.74,2003-12
2004,1,00,Índex general,62.3,2004-01
2004,2,00,Índex general,62.329,2004-02
2004,3,00,Índex general,62.764,2004-03
2004,4,00,Índex general,63.623,2004-04
2004,5,00,Índex general,63.999,2004-05
2004,6,00,Índex general,64.1,2004-06
2004,7,00,Índex general,63.614,2004-07
2004,8,00,Índex general,63.895,2004-08
2004,9,00,Índex general,64.009,2004-09
2004,10,00,Índex general,64.667,2004-10
2004,11,00,Índex general,64.828,2004-11
2004,12,00,Índex general,64.765,2004-12
2005,1,00,Índex general,64.219,2005-01
2005,2,00,Índex general,64.386,2005-02
2005,3,00,Índex general,64.895,2005-03
2005,4,00,Índex general,65.83,2005-04
2005,5,00,Índex general,65.956,2005-05
2005,6,00,Índex general,66.11,2005-06
2005,7,00,Índex general,65.705,2005-07
2005,8,00,Índex general,65.994,2005-08
2005,9,00,Índex general,66.399,2005-09
2005,10,00,Índex general,66.939,2005-10
2005,11,00,Índex general,67.04,2005-11
2005,12,00,Índex general,67.184,2005-12
2006,1,00,Índex general,66.912,2006-01
2006,2,00,Índex general,66.944,2006-02
2006,3,00,Índex general,67.418,2006-03
2006,4,00,Índex general,68.369,2006-04
2006,5,00,Índex general,68.615,2006-05
2006,6,00,Índex general,68.719,2006-06
2006,7,00,Índex general,68.31,2006-07
2006,8,00,Índex general,68.45,2006-08
2006,9,00,Índex general,68.337,2006-09
2006,10,00,Índex general,68.618,2006-10
2006,11,00,Índex general,68.787,2006-11
2006,12,00,Índex general,68.976,2006-12
2007,1,00,Índex general,68.512,2007-01
2007,2,00,Índex general,68.559,2007-02
2007,3,00,Índex general,69.079,2007-03
2007,4,00,Índex general,70.033,2007-04
2007,5,00,Índex general,70.225,2007-05
2007,6,00,Índex general,70.354,2007-06
2007,7,00,Índex general,69.843,2007-07
2007,8,00,Índex general,69.938,2007-08
2007,9,00,Índex general,70.168,2007-09
2007,10,00,Índex general,71.077,2007-10
2007,11,00,Índex general,71.587,2007-11
2007,12,00,Índex general,71.887,2007-12
2008,1,00,Índex general,71.442,2008-01
2008,2,00,Índex general,71.553,2008-02
2008,3,00,Índex general,72.188,2008-03
2008,4,00,Índex general,72.965,2008-04
2008,5,00,Índex general,73.458,2008-05
2008,6,00,Índex general,73.881,2008-06
2008,7,00,Índex general,73.526,2008-07
2008,8,00,Índex general,73.368,2008-08
2008,9,00,Índex general,73.353,2008-09
2008,10,00,Índex general,73.605,2008-10
2008,11,00,Índex general,73.293,2008-11
2008,12,00,Índex general,72.917,2008-12
2009,1,00,Índex general,72.018,2009-01
2009,2,00,Índex general,72.026,2009-02
2009,3,00,Índex general,72.144,2009-03
2009,4,00,Índex general,72.849,2009-04
2009,5,00,Índex general,72.823,2009-05
2009,6,00,Índex general,73.144,2009-06
2009,7,00,Índex general,72.52,2009-07
2009,8,00,Índex general,72.773,2009-08
2009,9,00,Índex general,72.601,2009-09
2009,10,00,Índex general,73.119,2009-10
2009,11,00,Índex general,73.515,2009-11
2009,12,00,Índex general,73.496,2009-12
2010,1,00,Índex general,72.759,2010-01
2010,2,00,Índex general,72.627,2010-02
2010,3,00,Índex general,73.165,2010-03
2010,4,00,Índex general,73.944,2010-04
2010,5,00,Índex general,74.109,2010-05
2010,6,00,Índex general,74.241,2010-06
2010,7,00,Índex general,73.909,2010-07
2010,8,00,Índex general,74.095,2010-08
2010,9,00,Índex general,74.146,2010-09
2010,10,00,Índex general,74.824,2010-10
2010,11,00,Índex general,75.23,2010-11
2010,12,00,Índex general,75.692,2010-12
2011,1,00,Índex general,75.138,2011-01
2011,2,00,Índex general,75.234,2011-02
2011,3,00,Índex general,75.796,2011-03
2011,4,00,Índex general,76.739,2011-04
2011,5,00,Índex general,76.714,2011-05
2011,6,00,Índex general,76.606,2011-06
2011,7,00,Índex general,76.194,2011-07
2011,8,00,Índex general,76.289,2011-08
2011,9,00,Índex general,76.475,2011-09
2011,10,00,Índex general,77.078,2011-10
