nombre,subsector,ing_2024,ing_2020,cagr,break_flag
Mercadona Sa,Alimentació,34059430.0,24649629.0,8.419336983352977,False
Centros Comerciales Carrefour Sa,Alimentació,9452104.0,8491008.0,2.7169961316072966,False
Lidl Supermercados Sau,Alimentació,,4877728.0,,False
Alcampo Sa,Alimentació,4764087.0,3349271.0,9.208727989095644,False
Dia Retail España Sa,Alimentació,4369981.0,3871844.0,3.071933860849163,False
Consum S Coop V,Alimentació,4369435.0,3090362.0,9.044554379114622,False
Leroy Merlin España Sl,Bricolatge i ferreteria,3624061.0,2354002.0,11.390247239770357,False
Mango Mng S.A.,Moda i tèxtil,2682678.0,1555796.0,14.591914235312299,False
Bon Preu Sau,Alimentació,2637597.0,1788199.0,10.204200473083546,False
Media Markt Saturn Sau,Electrodomèstics,2549428.0,62826.0,,True
"Ahorramas, Sa",Alimentació,2284342.0,1805559.0,6.056516937383694,False
"Eroski, S.Coop.",Alimentació,,2226376.0,,False
Ikea Iberica Sau,Mobles i llar,1957597.0,1474520.0,7.341622577465712,False
Bricolaje Bricoman Slu,Bricolatge i ferreteria,1977234.0,964360.0,19.66157654714362,False
Decathlon España Sau,Esports,1900409.0,1554987.0,5.142930899413911,False
Primark Tiendas Slu,Moda i tèxtil,1855181.0,1158766.0,12.485783064368118,False
Bershka Bsk España Sa,Moda i tèxtil,1753969.0,1133094.0,11.542145376244783,False
Stradivarius España Sa,Moda i tèxtil,1733531.0,904023.0,17.676036724794074,False
Dinosol Supermercados Sl,Alimentació,1705935.0,1186970.0,9.49157027373888,False
Vego Supermercados Sa,Alimentació,1516764.0,1095272.0,8.47983269672552,False
Tendam Retail Sa.,Moda i tèxtil,,624066.0,,False
Alimerka S.A.,Alimentació,848684.0,716288.0,4.331291815419269,False
Caprabo Sa,Alim. especialitzada,762825.0,838209.0,-2.3284343235047467,False
Sprinter Megacentros Del Deporte Sl,Esports,681871.0,413659.0,13.309137993227349,False
Distribucion Supermercados Sl,Alimentació,680638.0,541972.0,5.86071805719488,False
Casa Ametller Sl,Alimentació,603423.0,,,False
Supermercados Champion Sa,Alimentació,596832.0,511451.0,3.935047071941944,False
Apple Retail Spain Sl,Informàtica/electrònica,580092.0,372610.0,11.701908272933203,False
Pc Componentes Y Multimedia Slu,Informàtica/electrònica,561840.0,648047.0,-3.505727157222538,False
Aldi Masquefa Supermercados Sl,Alimentació,529633.0,424958.0,5.659185109791731,False
Familycash Sl,Alimentació,,291811.0,,False
Hennes And Mauritz Slu,Moda i tèxtil,518150.0,410505.0,5.994727533404665,False
Jd Spain Sports Fashion 2010 Sl.,Esports,445119.0,154013.0,30.385617467655756,False
Joyeria Tous Sa,Joieria,424049.0,229045.0,16.64706261137805,False
Euro Depot España S.A.U.,No especialitzat,411660.0,319150.0,6.570242800031578,False
Fragadis Sl,Alimentació,390591.0,321821.0,4.960759113309532,False
Franchising Calzedonia España Sa,Moda i tèxtil,356321.0,202220.0,15.213754180756677,False
Primaprix Sl.,Alimentació,349153.0,91669.0,39.70061598166647,False
Sephora Cosmeticos España Sl,Cosmètica i perfumeria,328622.0,109627.0,31.581482811117255,False
Grandes Almacenes Fnac España Sa,Llibres i cultura,316547.0,345763.0,-2.182868920283698,False
Hijos De Luis Rodriguez Sa,Alimentació,313381.0,250394.0,5.769922470625777,False
Game Stores Iberia Sl,Informàtica/electrònica,348393.0,32741.0,,True
Conforama España Sa,Mobles i llar,277769.0,321195.0,-3.566317857244272,False
Arenal Perfumerias Sl,Cosmètica i perfumeria,267924.0,122431.0,21.6270169893763,False
Dismoda -Comercio Y Distribucion Sl,Moda i tèxtil,252626.0,91022.0,29.072261041493654,False
Rosa-Crema Sl,Cosmètica i perfumeria,249067.0,107355.0,23.416571720715517,False
General Optica Sa,Òptica,227898.0,166792.0,8.116337270257379,False
Tiendanimal Comercio Electronico De Articulos Para Mascotas Sl,Mascotes,220910.0,143293.0,11.42883760727682,False
Kiabi España Ksce Sa,Moda i tèxtil,,160243.0,,False
Kave Home Sl,Mobles i llar,181030.0,31954.0,54.278827683757356,False
La Sirena Alimentacion Congelada Sau,Alimentació,180042.0,163528.0,2.4343051636152913,False
"Media Markt Canarias, Sociedad Anonima.",Electrodomèstics,165196.0,23651.0,,True
Optica Del Penedes Slu,Òptica,155835.0,93615.0,13.587329959724759,False
Action Retail Spain Sl.,No especialitzat,155331.0,,,True
Bimba Y Lola Sociedad Limitada.,Moda i tèxtil,147006.0,145338.0,0.28569077086133543,False
Christian Dior Española Slu,Moda i tèxtil,127234.0,32997.0,40.1303416992651,False
Foot Locker Spain Sl,Esports,126622.0,,,False
Forum Sport Sociedad Anonima,Esports,126192.0,108775.0,3.7828715348477315,False
Luxury Goods Spain Sl,Moda i tèxtil,124644.0,60890.0,19.6138174176564,False
Merkal Calzados Sl,Calçat,121439.0,94033.0,6.603011269427617,False
Adolfo Dominguez Sa,Moda i tèxtil,121387.0,55046.0,21.860120465708132,False
Maisons Du Monde España Sl.,Mobles i llar,117204.0,114198.0,0.6516697452335407,False
Kiko Retail España Sl,Cosmètica i perfumeria,106216.0,45692.0,23.4773907142225,False
