subsector,n,marge_ebitda,roa,productivitat,ratio_personal,cost_empleat,empleats_total,ing_total
Alim. especialitzada,1,1.4718972241339758,-8.847780629217755,167322.87782408422,15.475108969947234,25893.397674928714,4559.0,762825.0
Alimentació,21,5.467224682779811,8.524952928764378,197017.82574620697,12.787645726851041,27677.862304837407,257897.0,69652052.0
Bricolatge i ferreteria,2,6.56694448627675,11.778428368784276,277315.16581015004,12.469037698998502,33353.45895228151,21634.0,5601295.0
Calçat,1,-2.020767628191932,-27.783122594832328,141867.9906542056,22.295144064098025,31629.672897196262,856.0,121439.0
Cosmètica i perfumeria,4,7.561685912427761,11.008690257736621,274355.26827610994,10.23008152528596,23175.675675675673,3601.0,951829.0
Electrodomèstics,2,2.760566265756725,6.742820113095635,412853.3325248115,6.737918051728904,27846.748731631396,6389.0,2714624.0
Esports,5,5.526611984660282,8.750419712271096,165518.954248366,14.177106086110939,22341.176470588234,23373.0,3280213.0
Informàtica/electrònica,3,2.636337747401395,8.44815653705801,541130.5970149253,9.74560338468339,35131.205673758865,2710.0,1490325.0
Joieria,1,17.60456928326679,11.955712666602693,247114.80186480188,13.010996370702443,32152.097902097903,1716.0,424049.0
Llibres i cultura,1,-1.2178286320830713,-9.208394443633907,220436.6295264624,12.078775031827817,26626.044568245125,1436.0,316547.0
Mascotes,1,8.866959395228827,10.136687020334994,218939.54410307235,9.382101308225069,20541.12983151635,1009.0,220910.0
Mobles i llar,4,4.727652244223702,6.766698971808948,212523.16257104842,12.94350668605982,29129.09061348004,11759.0,2533600.0
Moda i tèxtil,13,6.475151983016501,6.521377474629846,392024.19719583896,10.489294652582233,41632.49001331558,29967.0,9672727.0
No especialitzat,2,3.119037309375333,2.833884105163042,156426.1361868108,13.745183139199614,22266.53491982807,3732.0,566991.0
Òptica,2,13.716552582187632,20.150694060248725,114159.03737782864,34.54691037960919,39452.30584661442,3353.0,383733.0
