municipi,any_dirce,total_empreses,empreses_g_i,any_pob,poblacio,gi_per_1000hab,index_capacitat
Alegría-Dulantzi,2025,147,47.0,2025,2955,15.905245346869712,
Amurrio,2025,553,209.0,2025,10364,20.165959089154768,18.951614632356446
Aramaio,2025,46,20.0,2025,1354,14.771048744460856,
Artziniega,2025,79,29.0,2025,1868,15.524625267665952,
Armiñón,2025,11,,2025,236,,
Arratzua-Ubarrundia,2025,52,21.0,2025,1056,19.886363636363637,
Asparrena,2025,64,27.0,2025,1609,16.78060907395898,
Ayala/Aiara,2025,167,53.0,2025,2921,18.14447107155084,
Baños de Ebro/Mañueta,2025,30,,2025,286,,
Barrundia,2025,65,,2025,882,,
Berantevilla,2025,40,,2025,461,,
Bernedo,2025,31,,2025,541,,
Campezo/Kanpezu,2025,58,29.0,2025,1073,27.027027027027028,
Zigoitia,2025,132,43.0,2025,1845,23.306233062330623,
Kripan,2025,4,,2025,174,,
Kuartango,2025,21,,2025,402,,
Elburgo/Burgelu,2025,35,,2025,642,,
Elciego,2025,66,,2025,971,,
Elvillar/Bilar,2025,18,,2025,315,,
Iruraiz-Gauna,2025,37,,2025,559,,
Labastida/Bastida,2025,106,51.0,2025,1558,32.73427471116817,
Lagrán,2025,12,,2025,177,,
Laguardia,2025,227,84.0,2025,1459,57.573680603152845,
Lanciego/Lantziego,2025,75,,2025,700,,
Lapuebla de Labarca,2025,64,,2025,895,,
Leza,2025,11,,2025,205,,
Laudio/Llodio,2025,739,306.0,2025,18077,16.927587542180675,18.272160512473405
Arraia-Maeztu,2025,46,,2025,812,,
Moreda de Álava/Moreda Araba,2025,14,,2025,218,,
Navaridas,2025,17,,2025,192,,
Okondo,2025,63,19.0,2025,1184,16.047297297297295,
Oyón-Oion,2025,226,75.0,2025,3476,21.576524741081702,
Peñacerrada-Urizaharra,2025,20,,2025,332,,
Erriberagoitia/Ribera Alta,2025,55,,2025,839,,
Erriberabeitia,2025,65,25.0,2025,1477,16.926201760324982,
Añana,2025,13,,2025,141,,
Agurain/Salvatierra,2025,227,103.0,2025,5189,19.849682019656967,13.649815838300267
Samaniego,2025,18,,2025,292,,
San Millán/Donemiliaga,2025,33,,2025,701,,
Urkabustaiz,2025,71,28.0,2025,1470,19.04761904761905,
Valdegovía/Gaubea,2025,63,37.0,2025,1064,34.774436090225564,
Harana/Valle de Arana,2025,15,,2025,212,,
Villabuena de Álava/Eskuernaga,2025,39,,2025,276,,
Legutio,2025,202,68.0,2025,2094,32.473734479465136,
Vitoria-Gasteiz,2025,13014,4568.0,2025,260699,17.522123214895338,37.88984523736602
Yécora/Iekora,2025,15,,2025,278,,
Zalduondo,2025,13,,2025,195,,
Zambrana,2025,20,,2025,452,,
Zuia,2025,152,59.0,2025,2350,25.106382978723403,
Iruña Oka/Iruña de Oca,2025,209,92.0,2025,3704,24.838012958963283,
Lantarón,2025,57,,2025,929,,
Abengibre,2025,42,,2025,753,,
Alatoz,2025,30,,2025,504,,
Albacete,2025,11517,3696.0,2025,175400,21.071835803876855,40.083150588478034
Albatana,2025,37,,2025,644,,
Alborea,2025,53,,2025,672,,
Alcadozo,2025,28,,2025,635,,
Alcalá del Júcar,2025,86,51.0,2025,1130,45.13274336283186,
Alcaraz,2025,99,49.0,2025,1283,38.191738113795786,
Almansa,2025,1607,543.0,2025,24615,22.059719683120047,27.62711913152046
Alpera,2025,122,56.0,2025,2278,24.582967515364356,
Ayna,2025,22,,2025,577,,
Balazote,2025,149,61.0,2025,2356,25.891341256366726,
Balsa de Ves,2025,5,,2025,121,,
"Ballestero, El",2025,22,,2025,411,,
Barrax,2025,107,57.0,2025,1838,31.011969532100107,
Bienservida,2025,27,,2025,548,,
Bogarra,2025,37,,2025,727,,
Bonete,2025,49,,2025,950,,
"Bonillo, El",2025,141,63.0,2025,2645,23.818525519848773,
Carcelén,2025,20,,2025,483,,
Casas de Juan Núñez,2025,70,37.0,2025,1409,26.259758694109298,
Casas de Lázaro,2025,9,,2025,298,,
Casas de Ves,2025,28,,2025,519,,
Casas-Ibáñez,2025,355,138.0,2025,4616,29.896013864818027,
Caudete,2025,613,205.0,2025,10439,19.63789635022512,18.26801265207137
Cenizate,2025,50,18.0,2025,1163,15.477214101461737,
Corral-Rubio,2025,11,,2025,303,,
Cotillas,2025,6,,2025,123,,
Chinchilla de Monte-Aragón,2025,300,111.0,2025,4614,24.057217165149545,
Elche de la Sierra,2025,248,99.0,2025,3603,27.477102414654453,
Férez,2025,29,,2025,604,,
Fuensanta,2025,16,,2025,282,,
Fuente-Álamo,2025,169,73.0,2025,2422,30.14037985136251,
Fuentealbilla,2025,115,47.0,2025,1804,26.053215077605323,
"Gineta, La",2025,152,72.0,2025,2656,27.10843373493976,
Golosalvo,2025,7,,2025,79,,
Hellín,2025,1905,879.0,2025,30836,28.50564275522117,37.699307376295444
"Herrera, La",2025,12,,2025,308,,
Higueruela,2025,71,25.0,2025,1133,22.06531332744925,
Hoya-Gonzalo,2025,38,,2025,582,,
Jorquera,2025,14,,2025,356,,
Letur,2025,63,,2025,911,,
Lezuza,2025,77,30.0,2025,1281,23.4192037470726,
Liétor,2025,48,22.0,2025,1052,20.91254752851711,
Madrigueras,2025,296,119.0,2025,4670,25.48179871520343,
Mahora,2025,83,28.0,2025,1465,19.112627986348123,
Masegoso,2025,4,,2025,117,,
Minaya,2025,77,34.0,2025,1381,24.619840695148444,
Molinicos,2025,52,,2025,754,,
Montealegre del Castillo,2025,176,55.0,2025,2051,26.81618722574354,
Motilleja,2025,19,,2025,673,,
Munera,2025,215,82.0,2025,3351,24.47030737093405,
Navas de Jorquera,2025,12,,2025,521,,
Nerpio,2025,77,35.0,2025,1136,30.80985915492958,
Ontur,2025,104,43.0,2025,1895,22.691292875989447,
Ossa de Montiel,2025,174,72.0,2025,2233,32.243618450515,
Paterna del Madera,2025,20,,2025,328,,
Peñascosa,2025,12,,2025,329,,
Peñas de San Pedro,2025,65,22.0,2025,1488,14.78494623655914,
Pétrola,2025,44,,2025,660,,
Povedilla,2025,17,,2025,374,,
Pozohondo,2025,100,44.0,2025,1544,28.497409326424872,
Pozo-Lorente,2025,18,,2025,398,,
Pozuelo,2025,21,,2025,455,,
"Recueja, La",2025,8,,2025,215,,
Riópar,2025,112,48.0,2025,1344,35.714285714285715,
Robledo,2025,29,,2025,382,,
"Roda, La",2025,1065,456.0,2025,15643,29.15041871763728,33.755110453763436
Salobre,2025,14,,2025,442,,
San Pedro,2025,38,15.0,2025,1155,12.987012987012989,
Socovos,2025,105,47.0,2025,1643,28.60620815581254,
Tarazona de la Mancha,2025,375,156.0,2025,6100,25.573770491803277,22.505460886200588
Tobarra,2025,471,207.0,2025,8006,25.855608293779667,24.786044560293906
Valdeganga,2025,103,45.0,2025,1970,22.84263959390863,
Vianos,2025,13,,2025,317,,
Villalgordo del Júcar,2025,60,25.0,2025,1159,21.570319240724764,
Villamalea,2025,254,96.0,2025,4083,23.51212343864805,
Villapalacios,2025,15,,2025,539,,
Villarrobledo,2025,1607,668.0,2025,25400,26.299212598425196,33.481100141943415
Villatoya,2025,9,,2025,114,,
Villavaliente,2025,10,,2025,190,,
Villaverde de Guadalimar,2025,15,,2025,325,,
Viveros,2025,16,,2025,293,,
Yeste,2025,143,70.0,2025,2471,28.328611898016998,
Pozo Cañada,2025,194,105.0,2025,2704,38.83136094674556,
"Atzúbia, l'",2025,32,,2025,589,,
Agost,2025,337,144.0,2025,5225,27.55980861244019,24.00301267402415
Agres,2025,42,,2025,623,,
Aigües,2025,88,26.0,2025,1199,21.68473728106756,
Albatera,2025,776,363.0,2025,13566,26.75807164971252,29.670237288393036
Alcalalí,2025,111,25.0,2025,1428,17.50700280112045,
Alcosser,2025,24,,2025,263,,
Alcoleja,2025,10,,2025,184,,
Alcoi/Alcoy,2025,3765,1217.0,2025,61468,19.798919763128783,30.95453534338241
Alfafara,2025,33,,2025,419,,
"Alfàs del Pi, l'",2025,1875,588.0,2025,21080,27.893738140417458,34.23852114582921
Algorfa,2025,244,80.0,2025,3788,21.119324181626187,
Algueña,2025,86,41.0,2025,1328,30.873493975903614,
Alacant/Alicante,2025,26372,8384.0,2025,366221,22.893280287039794,47.729804593175544
Almoradí,2025,1429,507.0,2025,22965,22.07707380796865,27.162947389722547
Almudaina,2025,9,,2025,128,,
"Alqueria d'Asnar, l'",2025,62,,2025,519,,
Altea,2025,2451,779.0,2025,24592,31.676968119713724,40.140090612593184
Aspe,2025,1414,517.0,2025,22397,23.083448676161986,28.34417378462214
Balones,2025,5,,2025,132,,
Banyeres de Mariola,2025,546,186.0,2025,7347,25.31645569620253,23.474867126330842
Benasau,2025,7,,2025,174,,
Beneixama,2025,124,43.0,2025,1696,25.35377358490566,
Benejúzar,2025,359,157.0,2025,5811,27.017725004302186,24.04822479552925
Benferri,2025,116,32.0,2025,2099,15.245354930919484,
Beniarbeig,2025,216,54.0,2025,2499,21.608643457382954,
Beniardà,2025,23,,2025,226,,
Beniarrés,2025,68,25.0,2025,1117,22.381378692927484,
Benigembla,2025,37,,2025,590,,
Benidoleig,2025,120,37.0,2025,1245,29.718875502008032,
Benidorm,2025,5606,2499.0,2025,77327,32.31730184799617,48.99750535513757
Benifato,2025,7,,2025,162,,
Benijófar,2025,305,108.0,2025,3679,29.355803207393315,
Benilloba,2025,49,,2025,744,,
Benillup,2025,5,,2025,110,,
Benimantell,2025,59,,2025,548,,
Benimarfull,2025,36,,2025,465,,
Benimassot,2025,5,,2025,85,,
Benimeli,2025,41,,2025,474,,
Benissa,2025,1323,343.0,2025,12471,27.50380883650068,30.04546231296883
"Poble Nou de Benitatxell, el/Benitachell",2025,449,96.0,2025,4911,19.547953573610265,
Biar,2025,303,74.0,2025,3677,20.125101985314114,
Bigastro,2025,534,119.0,2025,7537,15.788775374817567,10.452275742061875
Bolulla,2025,23,,2025,490,,
Busot,2025,237,76.0,2025,3782,20.095187731359072,
Calp,2025,2263,733.0,2025,27616,26.542584009269987,34.38624565244474
Callosa d'en Sarrià,2025,551,166.0,2025,8182,20.288438034710342,17.459573108538244
Callosa de Segura,2025,982,376.0,2025,19988,18.811286772063237,21.67415970735091
"Campello, el",2025,2338,762.0,2025,31419,24.252840637830612,32.28376614378442
"Camp de Mirra, el/Campo de Mirra",2025,19,,2025,447,,
Cañada,2025,97,28.0,2025,1213,23.083264633140974,
Castalla,2025,880,259.0,2025,11908,21.750083977158212,22.102531908749974
Castell de Castells,2025,27,,2025,443,,
Catral,2025,615,228.0,2025,9600,23.75,23.28102850025766
Cocentaina,2025,908,340.0,2025,11498,29.57036006261959,32.12739989219078
Confrides,2025,13,,2025,293,,
Cox,2025,676,361.0,2025,7722,46.749546749546745,50.369063927925836
Crevillent,2025,2021,834.0,2025,30921,26.971960803337538,35.738999024237465
Quatretondeta,2025,6,,2025,130,,
Daya Nueva,2025,140,52.0,2025,1885,27.586206896551722,
Daya Vieja,2025,45,,2025,698,,
Dénia,2025,4797,1319.0,2025,47261,27.908846617718627,39.93289159255792
Dolores,2025,525,187.0,2025,8326,22.4597645928417,20.549238278731877
Elx/Elche,2025,16775,5895.0,2025,245557,24.006646114751362,46.40898875436643
Elda,2025,3631,1259.0,2025,55222,22.79888450255333,34.3049589034117
Fageca,2025,8,,2025,100,,
Finestrat,2025,899,315.0,2025,9919,31.75723359209598,33.859077621217764
Formentera del Segura,2025,273,93.0,2025,4868,19.104354971240756,
Gata de Gorgos,2025,530,167.0,2025,6773,24.65672523254097,22.033123445985684
Gaianes,2025,50,,2025,577,,
Gorga,2025,17,,2025,286,,
Granja de Rocamora,2025,216,119.0,2025,2728,43.6217008797654,
"Castell de Guadalest, el",2025,54,,2025,284,,
Guardamar del Segura,2025,1369,465.0,2025,18564,25.048480930833872,29.637444905859894
"Fondó de les Neus, el/Hondón de las Nieves",2025,162,53.0,2025,2738,19.35719503287071,
Hondón de los Frailes,2025,63,33.0,2025,1334,24.737631184407796,
Ibi,2025,1803,553.0,2025,24500,22.571428571428573,28.28619658179764
Jacarilla,2025,173,46.0,2025,2176,21.139705882352942,
Xaló,2025,297,93.0,2025,3104,29.961340206185568,
Xàbia/Jávea,2025,3408,858.0,2025,30642,28.00078323869199,37.00563844608182
Xixona/Jijona,2025,434,158.0,2025,7669,20.602425348806882,17.438101227308817
"Orxa, l'/Lorcha",2025,34,,2025,589,,
Llíber,2025,90,,2025,882,,
Millena,2025,11,,2025,265,,
Monforte del Cid,2025,561,197.0,2025,9283,21.221587848755792,19.631019893886112
Monòver/Monóvar,2025,744,280.0,2025,13116,21.347971942665446,22.233398149308194
Mutxamel,2025,1929,628.0,2025,28621,21.941930750148494,28.527158744337328
Murla,2025,30,,2025,574,,
Muro de Alcoy,2025,763,229.0,2025,9372,24.434485702091337,24.02182404500381
Novelda,2025,1634,639.0,2025,26606,24.01713899120499,30.80187710304102
"Nucia, la",2025,1593,495.0,2025,19121,25.887767376183255,30.94750986240755
Ondara,2025,727,223.0,2025,7717,28.897239860049243,28.464531291192667
Onil,2025,572,172.0,2025,8114,21.19792950456002,18.652585985943883
Orba,2025,184,45.0,2025,2399,18.757815756565236,
Orxeta,2025,45,,2025,906,,
Orihuela,2025,6056,1943.0,2025,84560,22.977767265846737,37.54048494973827
Parcent,2025,97,19.0,2025,1037,18.32208293153327,
Pedreguer,2025,761,211.0,2025,8849,23.84450220363883,22.834402875915288
Pego,2025,861,244.0,2025,10791,22.61143545547215,22.576687941031633
Penàguila,2025,22,,2025,305,,
Petrer,2025,2207,797.0,2025,34022,23.426018458644407,31.74173928048109
"Pinós, el/Pinoso",2025,575,204.0,2025,8523,23.93523407250968,22.69137788955753
Planes,2025,44,,2025,697,,
Polop,2025,432,129.0,2025,5828,22.13452299245024,17.602037292500267
Rafal,2025,257,80.0,2025,4849,16.498247061249742,
"Ràfol d'Almúnia, el",2025,54,,2025,734,,
Redován,2025,453,183.0,2025,8283,22.093444404201378,20.017262066476526
Relleu,2025,81,23.0,2025,1375,16.727272727272727,
Rojales,2025,1084,342.0,2025,17652,19.37457511896669,21.592280941408227
"Romana, la",2025,168,60.0,2025,2729,21.98607548552583,
Sagra,2025,29,,2025,441,,
Salinas,2025,97,28.0,2025,1828,15.317286652078774,
Sanet y Negrals,2025,64,,2025,712,,
San Fulgencio,2025,511,188.0,2025,9769,19.244549083836624,17.251502026674217
Sant Joan d'Alacant,2025,2017,601.0,2025,26834,22.396959081761945,28.690282591217553
San Miguel de Salinas,2025,543,146.0,2025,7177,20.342761599554134,16.613540488211015
Santa Pola,2025,2551,952.0,2025,39709,23.974413860837593,33.559719496224275
Sant Vicent del Raspeig/San Vicente del Raspeig,2025,3592,1306.0,2025,60247,21.67742792172224,33.39926344996084
Sax,2025,562,182.0,2025,10346,17.591339648173207,15.308600553179186
Sella,2025,50,,2025,621,,
Senija,2025,49,,2025,698,,
Tàrbena,2025,40,,2025,662,,
Teulada,2025,1549,439.0,2025,12912,33.99938042131351,38.51800717229701
Tibi,2025,128,39.0,2025,1757,22.1969265793967,
Tormos,2025,19,,2025,323,,
"Torre de les Maçanes, la/Torremanzanas",2025,41,,2025,749,,
Torrevieja,2025,7004,2200.0,2025,98533,22.32754508641775,37.73915777789631
"Vall d'Alcalà, la",2025,9,,2025,159,,
"Vall d'Ebo, la",2025,13,,2025,231,,
"Vall de Gallinera, la",2025,42,,2025,583,,
"Vall de Laguar, la",2025,63,,2025,905,,
