pais,pais_codi,any,sex,sexe,age,edat,ocupats_milers
Espanya,ES,2008,F,Dones,Y15-24,15-24,194.6
Espanya,ES,2009,F,Dones,Y15-24,15-24,150.7
Espanya,ES,2010,F,Dones,Y15-24,15-24,130.6
Espanya,ES,2011,F,Dones,Y15-24,15-24,126.9
Espanya,ES,2012,F,Dones,Y15-24,15-24,98.8
Espanya,ES,2013,F,Dones,Y15-24,15-24,85.5
Espanya,ES,2014,F,Dones,Y15-24,15-24,82.1
Espanya,ES,2015,F,Dones,Y15-24,15-24,88.9
Espanya,ES,2016,F,Dones,Y15-24,15-24,91.1
Espanya,ES,2017,F,Dones,Y15-24,15-24,93.5
Espanya,ES,2018,F,Dones,Y15-24,15-24,97.4
Espanya,ES,2019,F,Dones,Y15-24,15-24,94.6
Espanya,ES,2020,F,Dones,Y15-24,15-24,80.8
Espanya,ES,2021,F,Dones,Y15-24,15-24,79.1
Espanya,ES,2022,F,Dones,Y15-24,15-24,79.2
Espanya,ES,2023,F,Dones,Y15-24,15-24,95.9
Espanya,ES,2024,F,Dones,Y15-24,15-24,93.4
Espanya,ES,2025,F,Dones,Y15-24,15-24,105.3
UE-27,EU27_2020,2008,F,Dones,Y15-24,15-24,1680.4
UE-27,EU27_2020,2009,F,Dones,Y15-24,15-24,1596.2
UE-27,EU27_2020,2010,F,Dones,Y15-24,15-24,1520.9
UE-27,EU27_2020,2011,F,Dones,Y15-24,15-24,1480.5
UE-27,EU27_2020,2012,F,Dones,Y15-24,15-24,1405.6
UE-27,EU27_2020,2013,F,Dones,Y15-24,15-24,1347.8
UE-27,EU27_2020,2014,F,Dones,Y15-24,15-24,1330.8
UE-27,EU27_2020,2015,F,Dones,Y15-24,15-24,1344.1
UE-27,EU27_2020,2016,F,Dones,Y15-24,15-24,1341.1
UE-27,EU27_2020,2017,F,Dones,Y15-24,15-24,1341.2
UE-27,EU27_2020,2018,F,Dones,Y15-24,15-24,1355.5
UE-27,EU27_2020,2019,F,Dones,Y15-24,15-24,1367.4
UE-27,EU27_2020,2020,F,Dones,Y15-24,15-24,1292.0
UE-27,EU27_2020,2021,F,Dones,Y15-24,15-24,1320.7
UE-27,EU27_2020,2022,F,Dones,Y15-24,15-24,1391.8
UE-27,EU27_2020,2023,F,Dones,Y15-24,15-24,1463.2
UE-27,EU27_2020,2024,F,Dones,Y15-24,15-24,1419.8
UE-27,EU27_2020,2025,F,Dones,Y15-24,15-24,1433.8
Espanya,ES,2008,M,Homes,Y15-24,15-24,95.4
Espanya,ES,2009,M,Homes,Y15-24,15-24,74.9
Espanya,ES,2010,M,Homes,Y15-24,15-24,66.9
Espanya,ES,2011,M,Homes,Y15-24,15-24,60.9
Espanya,ES,2012,M,Homes,Y15-24,15-24,52.1
Espanya,ES,2013,M,Homes,Y15-24,15-24,52.5
Espanya,ES,2014,M,Homes,Y15-24,15-24,52.7
Espanya,ES,2015,M,Homes,Y15-24,15-24,54.8
Espanya,ES,2016,M,Homes,Y15-24,15-24,51.4
Espanya,ES,2017,M,Homes,Y15-24,15-24,52.9
Espanya,ES,2018,M,Homes,Y15-24,15-24,52.6
Espanya,ES,2019,M,Homes,Y15-24,15-24,65.7
Espanya,ES,2020,M,Homes,Y15-24,15-24,48.7
Espanya,ES,2021,M,Homes,Y15-24,15-24,50.8
Espanya,ES,2022,M,Homes,Y15-24,15-24,51.9
Espanya,ES,2023,M,Homes,Y15-24,15-24,57.2
Espanya,ES,2024,M,Homes,Y15-24,15-24,63.7
Espanya,ES,2025,M,Homes,Y15-24,15-24,66.9
UE-27,EU27_2020,2008,M,Homes,Y15-24,15-24,939.6
UE-27,EU27_2020,2009,M,Homes,Y15-24,15-24,900.8
UE-27,EU27_2020,2010,M,Homes,Y15-24,15-24,854.5
UE-27,EU27_2020,2011,M,Homes,Y15-24,15-24,856.4
UE-27,EU27_2020,2012,M,Homes,Y15-24,15-24,809.0
UE-27,EU27_2020,2013,M,Homes,Y15-24,15-24,807.7
UE-27,EU27_2020,2014,M,Homes,Y15-24,15-24,809.0
UE-27,EU27_2020,2015,M,Homes,Y15-24,15-24,799.7
UE-27,EU27_2020,2016,M,Homes,Y15-24,15-24,814.6
UE-27,EU27_2020,2017,M,Homes,Y15-24,15-24,848.5
UE-27,EU27_2020,2018,M,Homes,Y15-24,15-24,863.3
