any,vab_total_corrents,vab_cnae47_corrents,pes_cnae47,var_vab_cnae47_corrents
1995,426016.0,28911.0,0.06786364831367836,
1996,451540.0,29720.0,0.06581919652743944,0.027982428833316142
1997,477108.0,30550.0,0.0640316238671328,0.027927321668909766
1998,507255.0,31113.0,0.061336014430611825,0.018428805237315826
1999,540843.0,32223.0,0.059579212451672664,0.03567640536110317
2000,588595.0,34049.0,0.057847925993255125,0.056667597678676795
2001,638972.0,36282.0,0.056781830815747794,0.0655819554171928
2002,683365.0,38740.0,0.056690055826681206,0.06774709222203845
2003,728182.0,39827.0,0.054693744146380986,0.028058853897780178
2004,775872.0,42459.0,0.054724232863152686,0.06608582117658868
2005,833031.0,45235.0,0.05430170065699836,0.06538072022421626
2006,898262.0,48078.0,0.05352335955433938,0.06284956339117942
2007,970997.0,50206.0,0.05170561804001454,0.0442614085444486
2008,1025304.0,53791.0,0.05246346449443287,0.07140580807074848
2009,1005567.0,53266.0,0.052971109831567664,-0.00975999702552477
2010,989756.0,53287.0,0.05383852181749845,0.00039424773776897126
2011,984997.0,53806.0,0.054625547082884515,0.009739711374256332
2012,953037.0,52725.0,0.05532314065456011,-0.02009069620488424
2013,937641.0,51231.0,0.05463818241736443,-0.02833570412517783
2014,946493.0,51124.0,0.05401413428308503,-0.002088579180574257
2015,987936.0,53777.0,0.054433688012178925,0.051893435568421964
2016,1019400.0,56813.0,0.055731803021385126,0.05645536195771417
2017,1061122.0,58068.0,0.054723208075979954,0.022090014609332354
2018,1097845.0,60520.0,0.055126179014341734,0.04222635530757035
2019,1137968.0,61061.0,0.053657923597148605,0.008939193654990074
2020,1030964.0,55397.0,0.053733205039167224,-0.0927596993170764
2021,1118595.0,62918.0,0.056247346001010196,0.13576547466469302
2022,1254715.0,64043.0,0.051041870066110634,0.017880415779268244
2023,1366751.0,71780.0,0.05251871043079537,0.1208094561466515
2024,1452583.0,,,
