codi,any,n_empreses_eas,xifra_negoci,valor_afegit,inversio,personal_ocupat,nom
4721,2018,14993.0,2399134000.0,509578000.0,14171000.0,32773.0,Fruiteries
4721,2019,14687.0,2473117000.0,508292000.0,21737000.0,33239.0,Fruiteries
4721,2020,13985.0,2679743000.0,511836000.0,33715000.0,32527.0,Fruiteries
4721,2021,13998.0,2885088000.0,621310000.0,38230000.0,37900.0,Fruiteries
4721,2022,13701.0,3117209000.0,609914000.0,30346000.0,35747.0,Fruiteries
4721,2023,12857.0,3218887000.0,677468000.0,38186000.0,35328.0,Fruiteries
4721,2024,12449.0,3828026000.0,788558000.0,41241000.0,37497.0,Fruiteries
4722,2018,24295.0,4346220000.0,1004854000.0,56964000.0,58119.0,Carnisseries
4722,2019,22890.0,4372599000.0,1058554000.0,28027000.0,58108.0,Carnisseries
4722,2020,23484.0,4296242000.0,992574000.0,35604000.0,57002.0,Carnisseries
4722,2021,24395.0,4639777000.0,1122905000.0,35298000.0,55478.0,Carnisseries
4722,2022,24050.0,5111845000.0,1263579000.0,31316000.0,58768.0,Carnisseries
4722,2023,22705.0,4980318000.0,1077761000.0,51671000.0,51133.0,Carnisseries
4722,2024,21748.0,6007947000.0,1359474000.0,51255000.0,57745.0,Carnisseries
4723,2018,9379.0,1669479000.0,309494000.0,15570000.0,19234.0,Peixateries
4723,2019,9286.0,1654099000.0,327613000.0,11436000.0,18932.0,Peixateries
4723,2020,9285.0,1684014000.0,319795000.0,11922000.0,17692.0,Peixateries
4723,2021,9939.0,1776584000.0,351115000.0,10997000.0,18396.0,Peixateries
4723,2022,9809.0,1718198000.0,337817000.0,5271000.0,17380.0,Peixateries
4723,2023,9137.0,1699429000.0,344313000.0,9231000.0,16223.0,Peixateries
4723,2024,8614.0,1845361000.0,354757000.0,9773000.0,14535.0,Peixateries
4724,2018,20914.0,2858114000.0,1015674000.0,70007000.0,65096.0,Forns i pastisseries
4724,2019,21817.0,3042348000.0,1107817000.0,50873000.0,67789.0,Forns i pastisseries
4724,2020,20626.0,2422589000.0,844601000.0,45141000.0,63023.0,Forns i pastisseries
4724,2021,20524.0,2864541000.0,1091929000.0,65549000.0,64275.0,Forns i pastisseries
4724,2022,20351.0,3229812000.0,1149472000.0,49140000.0,64985.0,Forns i pastisseries
4724,2023,19649.0,3581295000.0,1263431000.0,62950000.0,65516.0,Forns i pastisseries
4724,2024,19201.0,4044921000.0,1538108000.0,76934000.0,71160.0,Forns i pastisseries
4725,2018,2208.0,478908000.0,70367000.0,6653000.0,3747.0,Begudes
4725,2019,2237.0,430522000.0,66501000.0,5041000.0,4339.0,Begudes
4725,2020,2685.0,456156000.0,60191000.0,4391000.0,5362.0,Begudes
4725,2021,2835.0,499003000.0,83403000.0,5551000.0,4948.0,Begudes
4725,2022,2758.0,637420000.0,106646000.0,5872000.0,5695.0,Begudes
4725,2023,2738.0,669663000.0,111773000.0,6747000.0,5644.0,Begudes
4725,2024,2683.0,774202000.0,136254000.0,9792000.0,5603.0,Begudes
4726,2018,9454.0,8325074000.0,637846000.0,14096000.0,20995.0,Estancs (tabac)
4726,2019,9037.0,7914500000.0,708161000.0,11580000.0,21250.0,Estancs (tabac)
4726,2020,8996.0,7378441000.0,626658000.0,14163000.0,20679.0,Estancs (tabac)
4726,2021,9186.0,7554470000.0,709250000.0,1693000.0,21893.0,Estancs (tabac)
4726,2022,9204.0,9280577000.0,833468000.0,2758000.0,23790.0,Estancs (tabac)
4726,2023,9085.0,10639660000.0,863652000.0,5134000.0,24654.0,Estancs (tabac)
4726,2024,9134.0,11100185000.0,893660000.0,6952000.0,26529.0,Estancs (tabac)
4729,2018,15008.0,2257997000.0,429419000.0,19489000.0,29627.0,Altres aliments
4729,2019,14717.0,2366240000.0,483045000.0,17806000.0,30880.0,Altres aliments
4729,2020,15287.0,2401091000.0,438532000.0,21588000.0,30334.0,Altres aliments
4729,2021,15943.0,2528298000.0,506541000.0,22646000.0,31032.0,Altres aliments
4729,2022,15577.0,3082490000.0,583426000.0,19453000.0,34679.0,Altres aliments
4729,2023,14822.0,3055244000.0,641916000.0,23505000.0,32399.0,Altres aliments
4729,2024,14230.0,3428637000.0,723490000.0,17671000.0,32851.0,Altres aliments
