codi,any,empreses,nom
47,2025,377471,CNAE 47 total
47,2024,384774,CNAE 47 total
47,2023,393287,CNAE 47 total
47,2022,428605,CNAE 47 total
47,2021,427637,CNAE 47 total
47,2020,435836,CNAE 47 total
471,2025,35696,Establecimientos no especializados
471,2024,36226,Establecimientos no especializados
471,2023,36940,Establecimientos no especializados
471,2022,39873,Establecimientos no especializados
471,2021,40108,Establecimientos no especializados
471,2020,41295,Establecimientos no especializados
472,2025,80030,"Alimentación, bebidas y tabaco"
472,2024,82341,"Alimentación, bebidas y tabaco"
472,2023,85069,"Alimentación, bebidas y tabaco"
472,2022,91650,"Alimentación, bebidas y tabaco"
472,2021,91562,"Alimentación, bebidas y tabaco"
472,2020,91188,"Alimentación, bebidas y tabaco"
473,2025,5080,Combustibles
473,2024,5227,Combustibles
473,2023,5249,Combustibles
473,2022,5595,Combustibles
473,2021,5666,Combustibles
473,2020,5824,Combustibles
474,2025,8009,Equipos TIC
474,2024,8269,Equipos TIC
474,2023,8529,Equipos TIC
474,2022,9610,Equipos TIC
474,2021,9598,Equipos TIC
474,2020,10073,Equipos TIC
475,2025,59567,Articles d'us domestic
475,2024,60882,Articles d'us domestic
475,2023,62202,Articles d'us domestic
475,2022,68558,Articles d'us domestic
475,2021,68911,Articles d'us domestic
475,2020,70571,Articles d'us domestic
476,2025,20996,Cultura i recreatius
476,2024,21607,Cultura i recreatius
476,2023,22422,Cultura i recreatius
476,2022,24426,Cultura i recreatius
476,2021,24506,Cultura i recreatius
476,2020,25491,Cultura i recreatius
477,2025,120270,"Vestit, calcat i altres"
477,2024,122377,"Vestit, calcat i altres"
477,2023,124740,"Vestit, calcat i altres"
477,2022,134682,"Vestit, calcat i altres"
477,2021,134082,"Vestit, calcat i altres"
477,2020,137132,"Vestit, calcat i altres"
478,2025,34160,Mercadillos
478,2024,34950,Mercadillos
478,2023,35990,Mercadillos
478,2022,40543,Mercadillos
478,2021,40544,Mercadillos
478,2020,42949,Mercadillos
479,2025,13663,Venda no establerta (online)
479,2024,12895,Venda no establerta (online)
479,2023,12146,Venda no establerta (online)
479,2022,13668,Venda no establerta (online)
479,2021,12660,Venda no establerta (online)
479,2020,11313,Venda no establerta (online)
