codi,any,n_empreses_eas,xifra_negoci,valor_afegit,inversio,personal_ocupat,nom
47,2018,452284.0,239886799000.0,46306048000.0,5098102000.0,1738217.0,CNAE 47 total
47,2019,447367.0,245532763000.0,48258617000.0,5001303000.0,1756389.0,CNAE 47 total
47,2020,437966.0,234720696000.0,44419654000.0,5061520000.0,1706021.0,CNAE 47 total
47,2021,446138.0,255040028000.0,51015893000.0,6076036000.0,1683170.0,CNAE 47 total
47,2022,442838.0,288562944000.0,54102896000.0,5754728000.0,1714439.0,CNAE 47 total
47,2023,426519.0,303018431000.0,57577256000.0,5648532000.0,1709138.0,CNAE 47 total
47,2024,417518.0,327353956000.0,64490896000.0,7125057000.0,1767412.0,CNAE 47 total
471,2018,52845.0,95874609000.0,17481408000.0,2845085000.0,556458.0,Establecimientos no especializados
471,2019,49256.0,96162680000.0,17685039000.0,2866237000.0,558458.0,Establecimientos no especializados
471,2020,47009.0,99131704000.0,17819256000.0,2990263000.0,562857.0,Establecimientos no especializados
471,2021,42224.0,101330805000.0,19147499000.0,3880373000.0,567604.0,Establecimientos no especializados
471,2022,41727.0,110723260000.0,19681100000.0,3453754000.0,553894.0,Establecimientos no especializados
471,2023,40334.0,120446968000.0,21561397000.0,3122045000.0,571617.0,Establecimientos no especializados
471,2024,39403.0,127681546000.0,23543108000.0,4308356000.0,585943.0,Establecimientos no especializados
472,2018,96251.0,22334926000.0,3977231000.0,196951000.0,229592.0,"Alimentación, bebidas y tabaco"
472,2019,94671.0,22253426000.0,4259982000.0,146500000.0,234536.0,"Alimentación, bebidas y tabaco"
472,2020,94346.0,21318276000.0,3794188000.0,166524000.0,226619.0,"Alimentación, bebidas y tabaco"
472,2021,96820.0,22747762000.0,4486453000.0,179963000.0,233921.0,"Alimentación, bebidas y tabaco"
472,2022,95450.0,26177550000.0,4884322000.0,144156000.0,241043.0,"Alimentación, bebidas y tabaco"
472,2023,90993.0,27844496000.0,4980314000.0,197424000.0,230897.0,"Alimentación, bebidas y tabaco"
472,2024,88059.0,31029279000.0,5794299000.0,213618000.0,245920.0,"Alimentación, bebidas y tabaco"
473,2018,5841.0,21739977000.0,1998606000.0,276613000.0,54850.0,Combustibles
473,2019,5663.0,22350098000.0,2168705000.0,302819000.0,57088.0,Combustibles
473,2020,5344.0,17649938000.0,2006619000.0,282768000.0,53883.0,Combustibles
473,2021,5596.0,22829788000.0,2283317000.0,322639000.0,55184.0,Combustibles
473,2022,5467.0,31025802000.0,2385482000.0,340923000.0,56346.0,Combustibles
473,2023,5384.0,28379305000.0,2596905000.0,314354000.0,56581.0,Combustibles
473,2024,5265.0,31587559000.0,3089021000.0,429752000.0,58450.0,Combustibles
474,2018,10229.0,6661755000.0,1346744000.0,76557000.0,46308.0,Equipos TIC
474,2019,10519.0,6605321000.0,1370652000.0,79540000.0,45404.0,Equipos TIC
474,2020,9874.0,5894501000.0,1025359000.0,89663000.0,41806.0,Equipos TIC
474,2021,9814.0,6031452000.0,1085057000.0,115686000.0,38466.0,Equipos TIC
474,2022,9500.0,6788220000.0,1211120000.0,113449000.0,39460.0,Equipos TIC
474,2023,9182.0,7084146000.0,1230543000.0,75166000.0,36099.0,Equipos TIC
474,2024,8766.0,7618926000.0,1362643000.0,55258000.0,38810.0,Equipos TIC
475,2018,66159.0,20449439000.0,4368222000.0,329468000.0,189475.0,Articles d'us domestic
475,2019,65165.0,21441680000.0,4674075000.0,273722000.0,195802.0,Articles d'us domestic
475,2020,62190.0,20408394000.0,4381925000.0,270841000.0,188215.0,Articles d'us domestic
475,2021,69123.0,23154409000.0,5263337000.0,411954000.0,183321.0,Articles d'us domestic
475,2022,68339.0,25376766000.0,5790840000.0,442911000.0,193362.0,Articles d'us domestic
475,2023,66083.0,26083314000.0,5927117000.0,455934000.0,186073.0,Articles d'us domestic
475,2024,64711.0,28645692000.0,6764565000.0,457333000.0,192903.0,Articles d'us domestic
476,2018,26910.0,8569567000.0,1835891000.0,121915000.0,83612.0,Cultura i recreatius
476,2019,25799.0,8716611000.0,1883216000.0,97548000.0,83129.0,Cultura i recreatius
476,2020,24739.0,7806630000.0,1655884000.0,103124000.0,79220.0,Cultura i recreatius
476,2021,25226.0,8512341000.0,1891913000.0,147946000.0,75621.0,Cultura i recreatius
476,2022,25027.0,9368066000.0,2039637000.0,173958000.0,76644.0,Cultura i recreatius
476,2023,23871.0,10051868000.0,2238158000.0,177990000.0,79558.0,Cultura i recreatius
476,2024,23071.0,10583992000.0,2369531000.0,172605000.0,76638.0,Cultura i recreatius
477,2018,137672.0,54451226000.0,13599455000.0,1067623000.0,488463.0,"Vestit, calcat i altres"
477,2019,139815.0,57185566000.0,14434705000.0,1076269000.0,489604.0,"Vestit, calcat i altres"
477,2020,133421.0,49676919000.0,11984019000.0,1027085000.0,462043.0,"Vestit, calcat i altres"
477,2021,139666.0,55447541000.0,15000210000.0,871568000.0,444529.0,"Vestit, calcat i altres"
477,2022,138932.0,62420791000.0,16059337000.0,968525000.0,466384.0,"Vestit, calcat i altres"
477,2023,134144.0,66426411000.0,16945946000.0,1164855000.0,467037.0,"Vestit, calcat i altres"
477,2024,131930.0,71401576000.0,19020928000.0,1241816000.0,483702.0,"Vestit, calcat i altres"
479,2018,15182.0,8178390000.0,1195920000.0,166387000.0,39367.0,Venda no establerta (online)
479,2019,14198.0,9149838000.0,1291822000.0,142876000.0,39351.0,Venda no establerta (online)
479,2020,16757.0,11545300000.0,1371573000.0,117144000.0,41566.0,Venda no establerta (online)
479,2021,14471.0,13626960000.0,1459875000.0,134133000.0,46305.0,Venda no establerta (online)
479,2022,14790.0,15182297000.0,1600337000.0,109192000.0,43975.0,Venda no establerta (online)
479,2023,15186.0,15209120000.0,1683481000.0,126936000.0,42220.0,Venda no establerta (online)
479,2024,16304.0,17181016000.0,2037664000.0,232639000.0,47341.0,Venda no establerta (online)
