any,cnae,branca,marge_vendes_pct,font,verificat
2019,N470,Supermercats i grans superfícies alimentàries,4.3,PATECO IDC 26/27,False
2022,N470,Supermercats i grans superfícies alimentàries,4.5,PATECO IDC 26/27,False
2023,N470,Supermercats i grans superfícies alimentàries,5.0,PATECO IDC 26/27,False
2024,N470,Supermercats i grans superfícies alimentàries,5.7,PATECO IDC 26/27,False
2025,N470,Supermercats i grans superfícies alimentàries,5.1,PATECO IDC 26/27,False
2019,N471,"Especialistes en alimentació, begudes i tabac",4.7,PATECO IDC 26/27,False
2022,N471,"Especialistes en alimentació, begudes i tabac",6.2,PATECO IDC 26/27,False
2023,N471,"Especialistes en alimentació, begudes i tabac",7.0,PATECO IDC 26/27,False
2024,N471,"Especialistes en alimentació, begudes i tabac",14.2,PATECO IDC 26/27,False
2025,N471,"Especialistes en alimentació, begudes i tabac",14.0,PATECO IDC 26/27,False
2019,N472,Gasolineres,3.6,PATECO IDC 26/27,False
2022,N472,Gasolineres,4.5,PATECO IDC 26/27,False
2023,N472,Gasolineres,4.5,PATECO IDC 26/27,False
2024,N472,Gasolineres,4.5,PATECO IDC 26/27,False
2025,N472,Gasolineres,4.5,PATECO IDC 26/27,False
2019,N474,Tecnologia,3.4,PATECO IDC 26/27,False
2022,N474,Tecnologia,2.4,PATECO IDC 26/27,False
2023,N474,Tecnologia,2.5,PATECO IDC 26/27,False
2024,N474,Tecnologia,2.5,PATECO IDC 26/27,False
2025,N474,Tecnologia,2.5,PATECO IDC 26/27,False
2019,N475,Equipament de la llar,10.8,PATECO IDC 26/27,False
2022,N475,Equipament de la llar,10.5,PATECO IDC 26/27,False
2023,N475,Equipament de la llar,18.3,PATECO IDC 26/27,False
2024,N475,Equipament de la llar,14.5,PATECO IDC 26/27,False
2025,N475,Equipament de la llar,14.5,PATECO IDC 26/27,False
2019,N476,"Productes culturals, esportius i joguines",4.5,PATECO IDC 26/27,False
2022,N476,"Productes culturals, esportius i joguines",4.5,PATECO IDC 26/27,False
2023,N476,"Productes culturals, esportius i joguines",4.5,PATECO IDC 26/27,False
2024,N476,"Productes culturals, esportius i joguines",4.5,PATECO IDC 26/27,False
2025,N476,"Productes culturals, esportius i joguines",4.5,PATECO IDC 26/27,False
2019,N477,"Moda, calçat, articles personals",8.5,PATECO IDC 26/27,False
2022,N477,"Moda, calçat, articles personals",12.5,PATECO IDC 26/27,False
2023,N477,"Moda, calçat, articles personals",13.5,PATECO IDC 26/27,False
2024,N477,"Moda, calçat, articles personals",13.5,PATECO IDC 26/27,False
2025,N477,"Moda, calçat, articles personals",13.5,PATECO IDC 26/27,False
2019,N478,Punts de venda i mercadillos,5.8,PATECO IDC 26/27,False
2022,N478,Punts de venda i mercadillos,6.3,PATECO IDC 26/27,False
2023,N478,Punts de venda i mercadillos,6.5,PATECO IDC 26/27,False
2024,N478,Punts de venda i mercadillos,6.5,PATECO IDC 26/27,False
2025,N478,Punts de venda i mercadillos,6.5,PATECO IDC 26/27,False
2019,N479,Comerç per internet / sense establiment,12.5,PATECO IDC 26/27,False
2022,N479,Comerç per internet / sense establiment,20.2,PATECO IDC 26/27,False
2023,N479,Comerç per internet / sense establiment,22.0,PATECO IDC 26/27,False
2024,N479,Comerç per internet / sense establiment,18.2,PATECO IDC 26/27,False
2025,N479,Comerç per internet / sense establiment,18.9,PATECO IDC 26/27,False
