any,cnae,branca,marge_vendes_pct,font,verificat
2018,471,Establiments no especialitzats (súper i hiper),5.6,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2019,471,Establiments no especialitzats (súper i hiper),5.3,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2020,471,Establiments no especialitzats (súper i hiper),4.9,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2021,471,Establiments no especialitzats (súper i hiper),6.0,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2022,471,Establiments no especialitzats (súper i hiper),5.4,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2023,471,Establiments no especialitzats (súper i hiper),5.6,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2024,471,Establiments no especialitzats (súper i hiper),6.0,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2018,472,"Aliments, begudes i tabac (especialitzat)",7.3,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2019,472,"Aliments, begudes i tabac (especialitzat)",7.4,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2020,472,"Aliments, begudes i tabac (especialitzat)",6.4,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2021,472,"Aliments, begudes i tabac (especialitzat)",8.1,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2022,472,"Aliments, begudes i tabac (especialitzat)",7.4,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2023,472,"Aliments, begudes i tabac (especialitzat)",6.8,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2024,472,"Aliments, begudes i tabac (especialitzat)",7.2,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2018,473,Combustible (gasolineres),3.3,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2019,473,Combustible (gasolineres),3.6,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2020,473,Combustible (gasolineres),4.2,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2021,473,Combustible (gasolineres),4.1,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
2022,473,Combustible (gasolineres),2.9,"INE, EEE Comercio (Encuesta Anual de Comercio), taula 76818 · https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76818",True
